"Year","min_logChl","median_logChl","mean_logChl","max_logChl","nSamples","lagoslakeid","Type","Site"
1984,0.73870799855167,1.01133765822453,0.978090828831092,1.27152358574619,40,21441,"Control","Mitawan Lake"
1985,0.742590427901676,0.825862546999385,0.825868011522812,0.903921451003897,25,21441,"Control","Mitawan Lake"
1986,0.716665312434332,0.842177166730251,0.849488200790027,1.05979063349019,55,21441,"Control","Mitawan Lake"
1987,0.700202434214347,0.861671866834677,0.86185679716073,1.04760540376928,40,21441,"Control","Mitawan Lake"
1988,0.364964762092932,0.769686615709974,0.749429733453592,1.0720498216046,45,21441,"Control","Mitawan Lake"
1989,0.664288692186894,0.87996698580828,0.821755919030591,0.932323835286583,35,21441,"Control","Mitawan Lake"
1990,0.594258172435726,0.781752270046598,0.815071169749212,0.980407492681397,65,21441,"Control","Mitawan Lake"
1991,0.526911283984394,0.761998968591827,0.806443483749127,1.11732755137726,55,21441,"Control","Mitawan Lake"
1992,0.811269872397446,1.03782208095215,1.03082497353897,1.2098945235167,35,21441,"Control","Mitawan Lake"
1993,0.680643343694947,0.901699024385785,0.927709709161458,1.16287023131616,40,21441,"Control","Mitawan Lake"
1994,0.599595193724874,0.908801352172755,0.898730450942557,1.1750087462887,30,21441,"Control","Mitawan Lake"
1995,0.719659031005879,0.781143468390509,0.804540488547533,0.987777666677309,40,21441,"Control","Mitawan Lake"
1996,0.700855592608053,0.859737928923589,0.883711219419826,1.16395537681119,35,21441,"Control","Mitawan Lake"
1997,0.718099656833233,0.795918853472383,0.812149110865901,0.938659079685606,20,21441,"Control","Mitawan Lake"
1998,0.485781506568732,0.804070736828205,0.89102894283427,1.31947179523794,45,21441,"Control","Mitawan Lake"
1999,0.456643537031441,0.553946070455643,0.663818470916029,0.980865805261003,15,21441,"Control","Mitawan Lake"
2000,0.477761429363857,0.671212214159138,0.677515858771514,0.921133623853111,35,21441,"Control","Mitawan Lake"
2001,0.531898371159026,0.647938663742055,0.664707159022235,0.839027407077184,40,21441,"Control","Mitawan Lake"
2002,0.445560986248384,0.624918025977449,0.618123636379084,0.816096159711864,50,21441,"Control","Mitawan Lake"
2003,0.368210578070674,0.597512830205468,0.608631462059325,0.943567213863737,45,21441,"Control","Mitawan Lake"
2004,0.41870640599011,0.5952698687243,0.611183255212345,0.924870266187021,30,21441,"Control","Mitawan Lake"
2005,0.465233286597218,0.571444716947934,0.573845296878226,0.687999941298603,40,21441,"Control","Mitawan Lake"
2006,0.465867220922111,0.620225715739017,0.605947865276635,0.708989493331226,35,21441,"Control","Mitawan Lake"
2007,0.461912790015917,0.555243842481796,0.599805449363859,0.929940928949952,55,21441,"Control","Mitawan Lake"
2008,0.470059625876976,0.699653046307883,0.736200983052322,1.22506685200927,50,21441,"Control","Mitawan Lake"
2009,0.528594011587651,0.669929187621129,0.711933673382828,1.04965638541,45,21441,"Control","Mitawan Lake"
2010,0.490607271294237,0.669359616916518,0.754047618826813,1.26460442563474,30,21441,"Control","Mitawan Lake"
2011,0.304773948750306,0.529996780870498,0.553382325547547,0.771873615461807,45,21441,"Control","Mitawan Lake"
2012,0.43521270976794,0.635681210086608,0.645562551259311,0.932432013035101,65,21441,"Control","Mitawan Lake"
2013,0.620991629074042,0.666765041464843,0.666765041464843,0.712538453855645,10,21441,"Control","Mitawan Lake"
2014,0.575088624546603,0.617859075239545,0.617859075239545,0.660629525932487,10,21441,"Control","Mitawan Lake"
2015,0.534309043159739,0.534309043159739,0.534309043159739,0.534309043159739,5,21441,"Control","Mitawan Lake"
2016,0.336100131218347,0.557809609251682,0.666674273471342,1.2685560760967,25,21441,"Control","Mitawan Lake"
2017,0.548844077154607,0.796242132700063,0.796242132700063,1.04364018824552,10,21441,"Control","Mitawan Lake"
2018,0.525750755852222,0.620293751246625,0.636769298573834,0.772846361292381,35,21441,"Control","Mitawan Lake"
2019,0.544365445277462,0.689830318931344,0.687741765730537,0.858838807680792,50,21441,"Control","Mitawan Lake"
2020,0.377424320658131,0.541313397126432,0.559606940620956,0.741298959483298,30,21441,"Control","Mitawan Lake"
