"Year","min_logChl","median_logChl","mean_logChl","max_logChl","nSamples","lagoslakeid","Type","Site"
1984,0.894587617774963,1.08391113664845,1.08180661814935,1.21613717155324,40,139473,"Control","Baird Lake"
1985,0.873939969399518,0.967744202864003,0.969188206253929,1.03613711213822,25,139473,"Control","Baird Lake"
1986,0.96292118898823,1.2549089092432,1.20963869102392,1.47787820612386,35,139473,"Control","Baird Lake"
1987,1.04592054092251,1.32428300796514,1.30075156787785,1.4391132806061,40,139473,"Control","Baird Lake"
1988,0.658483545574663,1.17532545694006,1.11395669844791,1.49868641380902,35,139473,"Control","Baird Lake"
1989,0.662816805224375,0.844374355581754,0.824950728666148,0.909054465702333,30,139473,"Control","Baird Lake"
1990,0.807390486638691,1.04915670062536,1.07722222367777,1.30009951032506,75,139473,"Control","Baird Lake"
1991,0.907305508971592,1.1732550201969,1.14589780312585,1.35587785471556,50,139473,"Control","Baird Lake"
1992,0.950870106920997,1.04218258837739,1.11592196215422,1.29213328097558,25,139473,"Control","Baird Lake"
1993,0.796104715779098,0.96100086608269,0.97963953851793,1.11233922907058,35,139473,"Control","Baird Lake"
1994,1.02201269120568,1.08565748867362,1.13653771066369,1.35282317410182,20,139473,"Control","Baird Lake"
1995,0.723233872614996,0.98047239937564,1.03227839088113,1.3742781253526,35,139473,"Control","Baird Lake"
1996,0.784496070559479,0.882944819655884,0.915809717049536,1.06272563372602,25,139473,"Control","Baird Lake"
1997,0.702801424915986,0.865797280053119,0.857327161723498,0.994912661871767,20,139473,"Control","Baird Lake"
1998,0.852987991790104,0.965004936107555,0.989910375820983,1.30144757432266,35,139473,"Control","Baird Lake"
1999,0.685445680613819,0.780090763204187,0.790467997693567,0.905867549262696,15,139473,"Control","Baird Lake"
2000,0.723976716683676,0.87998649096518,0.87582024161028,0.990705826192785,40,139473,"Control","Baird Lake"
2001,0.391626438093931,0.840712660154267,0.782058674966372,0.937629663611555,35,139473,"Control","Baird Lake"
2002,0.742563325509994,0.902340793231196,0.895470928923203,1.02345832708122,50,139473,"Control","Baird Lake"
2003,0.376258891632281,0.926274472552203,0.859155341437814,1.07597681365199,40,139473,"Control","Baird Lake"
2004,0.85639076562099,0.926061093947205,0.972950607350813,1.18328947588785,20,139473,"Control","Baird Lake"
2005,0.82129209107328,0.953998702769572,0.933288647382218,1.03573847942212,25,139473,"Control","Baird Lake"
2006,0.627793736804811,0.833092091220613,0.877414279494575,1.25598438411934,40,139473,"Control","Baird Lake"
2007,0.801623611389161,0.932330353253162,0.926400789319017,0.999050756521163,45,139473,"Control","Baird Lake"
2008,0.786117647573354,0.818718163355327,0.847444372320511,0.951720885243416,35,139473,"Control","Baird Lake"
2009,0.651632946915904,0.806970527008882,0.843293258492593,1.20406615382422,35,139473,"Control","Baird Lake"
2010,0.52500559041826,0.729380826059759,0.697726649507849,0.81518189244108,25,139473,"Control","Baird Lake"
2011,0.516748276326385,0.894694094794104,0.883339513602052,1.12042662341602,40,139473,"Control","Baird Lake"
2012,0.593597278290743,1.022556571717,0.951724512070214,1.2265541946088,45,139473,"Control","Baird Lake"
2013,0.827033882693505,0.930132450773113,0.945250028020146,1.07858375059382,15,139473,"Control","Baird Lake"
2014,0.930707997600962,1.06036106296612,1.07471688685457,1.21269388505049,30,139473,"Control","Baird Lake"
2015,1.23016915662717,1.38975750770353,1.37029840176216,1.52970084385136,30,139473,"Control","Baird Lake"
2016,1.09994618395524,1.31015173326242,1.26384715512386,1.33513897001538,20,139473,"Control","Baird Lake"
2017,0.906065383272788,1.06447733577862,1.09425516482798,1.27836102137391,30,139473,"Control","Baird Lake"
2018,0.961162116576421,1.07338067013988,1.14565372793405,1.34400471116793,35,139473,"Control","Baird Lake"
2019,0.771886316591302,1.15881192090868,1.15076554266641,1.43722339885774,60,139473,"Control","Baird Lake"
2020,0.560768499378099,1.24397390049941,1.12526271837805,1.46163430790281,35,139473,"Control","Baird Lake"
