"Year","min_logChl","median_logChl","mean_logChl","max_logChl","nSamples","lagoslakeid","Type","Site"
1984,0.874197808292846,1.067698047484,1.05944000604607,1.20142991334397,40,430,"Burned","Slate Lake"
1985,0.625930433699353,0.846865914151974,0.792948253895432,0.927255785075586,25,430,"Burned","Slate Lake"
1986,0.624107673271079,0.882841622679762,0.860063837510958,1.13708220051143,55,430,"Burned","Slate Lake"
1987,0.7917128201813,0.938564720544347,1.0065431658525,1.35765743881628,35,430,"Burned","Slate Lake"
1988,0.615784411044518,0.881128745500096,0.865791569545303,1.11001015031538,50,430,"Burned","Slate Lake"
1989,0.631666661057735,0.838521234439878,0.818071337385504,0.997283454538232,40,430,"Burned","Slate Lake"
1990,0.800678199843617,0.985721633405957,0.994671546752246,1.38389948313693,75,430,"Burned","Slate Lake"
1991,0.668697853818097,0.927783896162048,0.896324888072978,1.14198669840877,65,430,"Burned","Slate Lake"
1992,0.746938592148061,0.994295447658775,0.977579377928926,1.19653026498531,30,430,"Burned","Slate Lake"
1993,0.656952858555836,0.992789842922458,0.934506060817461,1.09435014794893,40,430,"Burned","Slate Lake"
1994,0.885432593244509,0.964911947335678,0.981020759498247,1.1101959567038,25,430,"Burned","Slate Lake"
1995,0.411795497290108,0.949125127830633,0.843471768712879,1.05033537378844,30,430,"Burned","Slate Lake"
1996,0.661134741007431,0.869766361184756,0.860469494879445,1.12406648283639,35,430,"Burned","Slate Lake"
1997,0.639814349699733,0.855078030497755,0.848847107206621,1.02374207911965,30,430,"Burned","Slate Lake"
1998,0.633427392276346,0.932828231410226,0.977774875825563,1.26121969533385,45,430,"Burned","Slate Lake"
1999,0.701941062774543,0.842491813499274,0.799875498393038,0.855193618905298,15,430,"Burned","Slate Lake"
2000,0.602144363674733,0.760771991677492,0.809770173077179,1.01641882912255,45,430,"Burned","Slate Lake"
2001,0.563859665613122,0.697467269349104,0.6952074186162,0.797135153823687,45,430,"Burned","Slate Lake"
2002,0.654404159032635,0.807325912969121,0.824813695417635,1.18035539470014,60,430,"Burned","Slate Lake"
2003,0.682570462488479,0.76977504931669,0.761836839426837,0.810344452637622,30,430,"Burned","Slate Lake"
2004,0.583449039521422,0.792150511799542,0.794788515831892,0.96852236832731,40,430,"Burned","Slate Lake"
2005,0.519004973368279,0.951517804384911,0.89064731329085,1.08848785431604,35,430,"Burned","Slate Lake"
2006,0.520018996105611,0.876986615646925,0.824738704430563,1.05830604679457,50,430,"Burned","Slate Lake"
2007,0.551719261594293,0.742830116637144,0.803661093752402,1.1643375233392,55,430,"Burned","Slate Lake"
2008,0.616714437628356,0.818286761936392,0.79528637737155,0.903893140148834,50,430,"Burned","Slate Lake"
2009,0.555722086829939,0.745201877219212,0.786844283089005,1.06907976922487,50,430,"Burned","Slate Lake"
2010,0.482333367404146,0.735513882564041,0.750394679481822,0.978794400467022,30,430,"Burned","Slate Lake"
2011,0.548524526335974,0.840821432464547,0.818797130519021,1.13522219676518,45,430,"Burned","Slate Lake"
2012,0.591323494574296,0.690869941601889,0.701267915984951,0.854618595243253,55,430,"Burned","Slate Lake"
2013,0.553556217219255,0.659551980954623,0.683413656222622,0.860994445761986,20,430,"Burned","Slate Lake"
2014,0.712656341077113,0.828332158466682,0.895006161242337,1.21070398695887,20,430,"Burned","Slate Lake"
2015,0.497799855724868,0.750863307692035,0.795445761858367,1.18225657632453,20,430,"Burned","Slate Lake"
2016,0.569361632216909,0.569361632216909,0.569361632216909,0.569361632216909,5,430,"Burned","Slate Lake"
2017,0.731735893870813,0.79030214073255,0.824719374386875,0.952120088557263,15,430,"Burned","Slate Lake"
2018,0.607504194980038,0.713460431843207,0.7259322213491,0.869303826729948,20,430,"Burned","Slate Lake"
2019,0.505415465561448,0.719901263349617,0.683869626336285,0.818659772931532,30,430,"Burned","Slate Lake"
2020,0.500102764552514,0.754180963614625,0.815991854568635,1.22453925275863,25,430,"Burned","Slate Lake"
