"Year","min_logChl","median_logChl","mean_logChl","max_logChl","nSamples","lagoslakeid","Type","Site"
1984,0.851534410906351,0.937940500180621,0.957019770753,1.07762331048167,40,414,"Burned","Sand Lake"
1985,0.782336069326666,0.839861129675977,0.84221646282245,0.914285219005359,25,414,"Burned","Sand Lake"
1986,0.794364735534336,0.85063574800673,0.902482145093983,1.14785403073253,45,414,"Burned","Sand Lake"
1987,0.525383710541033,0.876666725616066,0.858268822372676,1.07797082763433,50,414,"Burned","Sand Lake"
1988,0.810552674388454,0.922682204768698,0.923222186424667,1.0837475393157,40,414,"Burned","Sand Lake"
1989,0.750557632884154,0.962471635788629,1.02554733993553,1.49925817541005,35,414,"Burned","Sand Lake"
1990,0.776998101987216,1.06060099258179,1.02709899793148,1.21733107975727,70,414,"Burned","Sand Lake"
1991,0.752393734932596,0.963999582637152,0.966121818982113,1.1028241087839,55,414,"Burned","Sand Lake"
1992,0.800883908788084,0.955189072378414,1.01565052034893,1.41518141150543,40,414,"Burned","Sand Lake"
1993,0.837577878406504,0.939974235530523,0.948294464190255,1.11453895931214,55,414,"Burned","Sand Lake"
1994,0.804245048131833,0.940063183074292,1.0039604172337,1.33001395099868,30,414,"Burned","Sand Lake"
1995,0.651591069626996,0.825394257973271,0.860932853038073,1.26381553567524,55,414,"Burned","Sand Lake"
1996,0.63982750391407,0.897371017426835,0.870745574564609,1.09701948339114,40,414,"Burned","Sand Lake"
1997,0.746296949770747,0.765001500032695,0.81500927348192,0.950981100766034,30,414,"Burned","Sand Lake"
1998,0.922873617061821,0.987207616057649,0.985873858169467,1.05185429357563,40,414,"Burned","Sand Lake"
1999,0.640094937073299,0.687306677821834,0.726475786161291,0.891194851928196,20,414,"Burned","Sand Lake"
2000,0.59739224736026,0.834995327937515,0.818150684269131,1.07197346637972,35,414,"Burned","Sand Lake"
2001,0.450518909853875,0.697914077112954,0.674988636266807,0.882007611514578,40,414,"Burned","Sand Lake"
2002,0.70083765524997,0.780111034684033,0.807260374721987,1.0020600805374,65,414,"Burned","Sand Lake"
2003,0.618148875409003,0.909977986443746,0.877661799935223,0.992090206280871,35,414,"Burned","Sand Lake"
2004,0.478467243958599,0.674771901815059,0.718234034214773,1.06019448117986,35,414,"Burned","Sand Lake"
2005,0.660653702344131,0.850428671040875,0.825259587470677,0.979230377608884,40,414,"Burned","Sand Lake"
2006,0.625517365585881,0.820754125810916,0.824177934604582,0.992450035037741,45,414,"Burned","Sand Lake"
2007,0.514777477200716,0.719825888880424,0.732609744537749,1.0047640309358,55,414,"Burned","Sand Lake"
2008,0.536600261310511,0.784815436201753,0.761604592486905,0.888016511290875,50,414,"Burned","Sand Lake"
2009,0.590071442566059,0.715321058423937,0.73568819632303,0.908040159995636,50,414,"Burned","Sand Lake"
2010,0.541713727346961,0.67015372109165,0.745853685474233,1.11020746873479,40,414,"Burned","Sand Lake"
2011,0.655790503182194,0.784314193710073,0.788880841100633,0.922552675279016,40,414,"Burned","Sand Lake"
2012,0.54155321104153,0.706521956637717,0.684289182879697,0.948442458418186,70,414,"Burned","Sand Lake"
2013,0.490208863960245,0.846003788542561,0.759816142505727,1.00017604892283,25,414,"Burned","Sand Lake"
2014,0.688764320960566,0.924944108828303,0.994741177046395,1.3480739167151,40,414,"Burned","Sand Lake"
2015,0.662024353823766,0.81481157493442,0.81201486321094,0.93428211409687,30,414,"Burned","Sand Lake"
2016,0.466763784184486,0.688649661895357,0.729453721852059,1.01485949937678,25,414,"Burned","Sand Lake"
2017,0.583204407491253,0.765608316436393,0.765608316436393,0.948012225381533,10,414,"Burned","Sand Lake"
2018,0.393595857655725,0.782488334776465,0.741689954052893,1.08910411731419,40,414,"Burned","Sand Lake"
2019,0.45170958272629,0.708112661058542,0.707265034441895,0.950924941318616,40,414,"Burned","Sand Lake"
2020,0.48332234373771,0.79852252158002,0.754559183804541,0.950417133885356,40,414,"Burned","Sand Lake"
