"Year","min_logChl","median_logChl","mean_logChl","max_logChl","nSamples","lagoslakeid","Type","Site"
1984,0.835149850636008,0.998766751126357,1.02172819151312,1.20622787950941,35,121215,"Control","Flathorn Lake"
1985,0.727523073716215,0.799672683429041,0.801688960573899,0.879887401721299,20,121215,"Control","Flathorn Lake"
1986,0.648761551829956,0.830427790095853,0.815121365734273,0.977855572941016,55,121215,"Control","Flathorn Lake"
1987,0.809702004630407,0.899385393546795,0.918295869774679,1.05032198229875,40,121215,"Control","Flathorn Lake"
1988,0.674218623026088,0.825332441817858,0.814999554595722,0.886499364053038,45,121215,"Control","Flathorn Lake"
1989,0.624174512257815,0.808989004313915,0.812600138801805,0.980050332996021,35,121215,"Control","Flathorn Lake"
1990,0.757622861825555,0.909597752299548,0.92068679189489,1.02546932800265,50,121215,"Control","Flathorn Lake"
1991,0.704379751658073,0.845767282030776,0.849507283698025,1.12402894290466,40,121215,"Control","Flathorn Lake"
1992,0.719485030143228,0.963496258111984,0.923276543043877,1.01205701685309,25,121215,"Control","Flathorn Lake"
1993,0.758885073465496,0.88328554396208,0.86237824707388,0.973049744244455,40,121215,"Control","Flathorn Lake"
1994,0.730317327964169,0.906207490430335,0.899149469372352,1.05386556866457,20,121215,"Control","Flathorn Lake"
1995,0.409286201193045,0.830772513279484,0.787458559799142,0.971412196737183,35,121215,"Control","Flathorn Lake"
1996,0.693668462340766,0.823515735910076,0.812272293952567,0.914832283050802,30,121215,"Control","Flathorn Lake"
1997,0.57037535929797,0.816814632995042,0.774843809877924,0.895370614223642,20,121215,"Control","Flathorn Lake"
1998,0.857004341442966,0.91163237364405,0.903172890471161,0.964582437447455,35,121215,"Control","Flathorn Lake"
2000,0.635279713966751,0.758472762655018,0.828328933593475,1.13135694994653,35,121215,"Control","Flathorn Lake"
2001,0.449249895754534,0.77198778432576,0.746208772830113,0.974335236716861,40,121215,"Control","Flathorn Lake"
2002,0.52380428169523,0.760601230399778,0.745614943856113,0.987589320458914,45,121215,"Control","Flathorn Lake"
2003,0.610592089135054,0.752233518125184,0.760857334034176,0.972341632483312,30,121215,"Control","Flathorn Lake"
2004,0.483458805439567,0.631275757793806,0.660693009911564,0.829326710950021,30,121215,"Control","Flathorn Lake"
2005,0.561895219194914,0.767701840121757,0.732673315506735,0.868422887203535,15,121215,"Control","Flathorn Lake"
2006,0.521296521683809,0.674688380693549,0.658915585517323,0.815457909196354,25,121215,"Control","Flathorn Lake"
2007,0.48926416375458,0.70058748042418,0.704727148042418,0.870733637872977,50,121215,"Control","Flathorn Lake"
2008,0.488555802843844,0.761522929210281,0.719592761797647,0.85854028670881,40,121215,"Control","Flathorn Lake"
2009,0.567523226551834,0.740529980506379,0.720962453707338,0.819569695101453,30,121215,"Control","Flathorn Lake"
2010,0.478661234918646,0.677598433175616,0.63735475208739,0.755804588167907,15,121215,"Control","Flathorn Lake"
2011,0.652028590066563,0.709870862353642,0.714063938896516,0.789814925657352,30,121215,"Control","Flathorn Lake"
2012,0.547909095464387,0.708129755002139,0.699730028177174,0.872109582769811,50,121215,"Control","Flathorn Lake"
2013,0.491267741256201,0.611451792596787,0.613760054836247,0.746740554710258,25,121215,"Control","Flathorn Lake"
2014,0.592291253265267,0.708914843965743,0.761365206821375,1.0736762401841,25,121215,"Control","Flathorn Lake"
2015,0.677715519945117,0.689225687647808,0.689225687647808,0.7007358553505,10,121215,"Control","Flathorn Lake"
2016,0.563888508882435,0.694390635753216,0.679817712580209,0.771985467350191,35,121215,"Control","Flathorn Lake"
2017,0.530815037975611,0.691938741002743,0.677392180076097,0.860768494376407,25,121215,"Control","Flathorn Lake"
2018,0.610374082114424,0.670048269050057,0.735321038126406,1.09980198876992,30,121215,"Control","Flathorn Lake"
2019,0.528227959751576,0.660675474093926,0.65633464684252,0.793484276629118,60,121215,"Control","Flathorn Lake"
2020,0.405521290033945,0.627472983089722,0.623908279482541,0.797129686450076,45,121215,"Control","Flathorn Lake"
