"Year","min_logChl","median_logChl","mean_logChl","max_logChl","nSamples","lagoslakeid","Type","Site"
1984,1.43037543442269,1.49895091751806,1.51714180836681,1.71350434358469,40,73430,"Burned","Wampus Lake"
1985,1.19532850608579,1.37168092905547,1.35921371097133,1.47473596103502,25,73430,"Burned","Wampus Lake"
1986,1.06206899074965,1.38626902781711,1.39688589962115,1.5992396166148,45,73430,"Burned","Wampus Lake"
1987,1.14578563396652,1.38994970816247,1.3893104204095,1.5954281521987,40,73430,"Burned","Wampus Lake"
1988,1.25346648143106,1.43687194074537,1.40363276978865,1.48033906383589,40,73430,"Burned","Wampus Lake"
1989,1.09994940592173,1.29291336341695,1.35237893545527,1.70108626097467,35,73430,"Burned","Wampus Lake"
1990,1.23916294005559,1.4712169974701,1.48341892836578,1.75258956428252,55,73430,"Burned","Wampus Lake"
1991,1.27557333462097,1.44928478722711,1.4467903162848,1.60525269191757,45,73430,"Burned","Wampus Lake"
1992,0.984508774368094,1.28205238599325,1.26575515662009,1.63230816121235,40,73430,"Burned","Wampus Lake"
1993,1.0145314797576,1.22551207574423,1.31520299585065,1.81433529766875,40,73430,"Burned","Wampus Lake"
1994,1.12508277465389,1.37861602719823,1.34700163695773,1.49602845563232,25,73430,"Burned","Wampus Lake"
1995,0.990980085282607,1.24948443511937,1.22623175207367,1.61075894295052,35,73430,"Burned","Wampus Lake"
1996,0.555711185228891,1.25224490403557,1.12641382476851,1.33106896205852,35,73430,"Burned","Wampus Lake"
1997,1.17421421742015,1.31757671698829,1.31009690505706,1.4310199688315,20,73430,"Burned","Wampus Lake"
1998,1.05407544177987,1.33381075744858,1.36190638141852,1.69500061448599,40,73430,"Burned","Wampus Lake"
1999,0.874572828779222,1.03154307428204,1.03607628607171,1.20664616694355,20,73430,"Burned","Wampus Lake"
2000,1.1758408641426,1.20028867238484,1.21877341431696,1.29669849962337,25,73430,"Burned","Wampus Lake"
2001,1.12775071506031,1.21321469879447,1.2290911724076,1.38435735263494,40,73430,"Burned","Wampus Lake"
2002,0.834109518335551,1.17539439206539,1.15538201636752,1.48425773113235,60,73430,"Burned","Wampus Lake"
2003,0.938020299229819,1.20965751724431,1.1777994986541,1.3710460284949,35,73430,"Burned","Wampus Lake"
2004,0.559903699372646,1.17752791650468,1.10204549462388,1.40372625196235,30,73430,"Burned","Wampus Lake"
2005,0.63387280670728,1.26904705867985,1.23562199717536,1.48592510830068,35,73430,"Burned","Wampus Lake"
2006,0.485747697196002,1.35412219142614,1.23159766904077,1.527558363608,30,73430,"Burned","Wampus Lake"
2007,1.03447087816412,1.23335820558236,1.20665781754408,1.36811037896337,50,73430,"Burned","Wampus Lake"
2008,0.896479611934526,1.17632837119104,1.16819330576618,1.33959090390104,45,73430,"Burned","Wampus Lake"
2009,0.863109144364674,1.13611312600987,1.12144709057456,1.30592160476958,50,73430,"Burned","Wampus Lake"
2010,1.28887379604644,1.37484191688161,1.39559487044692,1.54382185197804,20,73430,"Burned","Wampus Lake"
2011,0.925163144192739,1.26870955119415,1.26939699802185,1.54279736906637,40,73430,"Burned","Wampus Lake"
2012,0.662372012622428,1.23510280014551,1.20804689723107,1.53788249728515,55,73430,"Burned","Wampus Lake"
2013,0.980956160706211,1.28578886310807,1.2423881274089,1.41701862271325,20,73430,"Burned","Wampus Lake"
2014,0.776147411321896,1.25494505943129,1.20142221132699,1.56524046551198,30,73430,"Burned","Wampus Lake"
2015,1.11478330395727,1.2256713952102,1.26169187698972,1.44581724144409,35,73430,"Burned","Wampus Lake"
2016,0.952895563011169,1.35390383297967,1.29527868313792,1.45658602350479,40,73430,"Burned","Wampus Lake"
2017,1.34434498722989,1.39512842257269,1.39354008042139,1.43955848931029,20,73430,"Burned","Wampus Lake"
2018,1.00033608876054,1.2942248937237,1.27695134120622,1.5081426882632,35,73430,"Burned","Wampus Lake"
2019,0.481917294370809,1.30908260926824,1.26470433465477,1.59417293570349,65,73430,"Burned","Wampus Lake"
2020,0.992222324384573,1.3708409285339,1.30239022188356,1.47195156913118,35,73430,"Burned","Wampus Lake"
