"Year","min_logChl","median_logChl","mean_logChl","max_logChl","nSamples","lagoslakeid","Type","Site"
1984,0.733022484104918,0.871616482304621,0.891379691455981,1.0792297504918,40,66295,"Burned","South McDougal"
1985,0.401537979583061,0.710252553212316,0.68103592361049,0.839701225405403,25,66295,"Burned","South McDougal"
1986,0.698909012735143,0.855635222054583,0.837066770794398,0.943374105882424,50,66295,"Burned","South McDougal"
1987,0.773102263489137,0.789324683871037,0.854737241943863,0.990462660672128,35,66295,"Burned","South McDougal"
1988,0.749629365868626,0.81374940306466,0.862637886649696,1.01142282375348,35,66295,"Burned","South McDougal"
1989,0.676444753581305,0.788083705047887,0.798477394754733,0.932210209983688,40,66295,"Burned","South McDougal"
1990,0.577224912826502,0.876066760805118,0.855208582254784,0.962361006718381,60,66295,"Burned","South McDougal"
1991,0.650080715637551,0.811929157645033,0.819388017866056,0.943608068311182,45,66295,"Burned","South McDougal"
1992,0.714748905696155,0.921269494016778,0.934022979086042,1.08790963385814,35,66295,"Burned","South McDougal"
1993,0.747518103067942,0.921670772143958,0.886038464573786,0.985193488814668,45,66295,"Burned","South McDougal"
1994,0.635410930204961,0.932638808398405,0.852668796382335,0.961782010040258,25,66295,"Burned","South McDougal"
1995,0.614721754889812,0.827267583027929,0.844779401106331,1.15973086312941,40,66295,"Burned","South McDougal"
1996,0.730368734480257,0.873828491085748,0.850011233809279,0.930208722856794,25,66295,"Burned","South McDougal"
1997,0.675945472629758,0.83003732920244,0.80806041858357,0.95716959327562,25,66295,"Burned","South McDougal"
1998,0.713190856084964,0.951135147671547,0.951262773331503,1.10007378959629,35,66295,"Burned","South McDougal"
1999,0.325343742661202,0.584503074578918,0.584503074578918,0.843662406496635,10,66295,"Burned","South McDougal"
2000,0.628237550532191,0.802712226673148,0.768192688848759,0.933058531775617,35,66295,"Burned","South McDougal"
2001,0.44916367361255,0.647900609284237,0.642629569432762,0.76070538399394,40,66295,"Burned","South McDougal"
2002,0.561717118832727,0.714111894977248,0.705687390933935,0.884559976193843,65,66295,"Burned","South McDougal"
2003,0.653046756850066,0.699173588897221,0.744752322114715,0.894398590576466,25,66295,"Burned","South McDougal"
2004,0.598681593904161,0.672044070015516,0.673005499913787,0.792935676640851,35,66295,"Burned","South McDougal"
2005,0.616971015163522,0.777864795347965,0.74761475863436,0.847644969151095,35,66295,"Burned","South McDougal"
2006,0.604199984755302,0.722796760525648,0.734362966949071,0.959003704163235,40,66295,"Burned","South McDougal"
2007,0.589601730180301,0.707278259334787,0.72513277974686,0.960756929128681,55,66295,"Burned","South McDougal"
2008,0.608095740463972,0.746494392104573,0.773460560723042,0.960823969395489,50,66295,"Burned","South McDougal"
2009,0.539916639357566,0.763393920870539,0.734025901089753,0.826867928053584,50,66295,"Burned","South McDougal"
2010,0.303918421573221,0.689472142401585,0.661205535235673,0.84484552164516,25,66295,"Burned","South McDougal"
2011,0.52722379117623,0.731023468911154,0.719740212153693,0.852543528922424,35,66295,"Burned","South McDougal"
2012,0.489746667004102,0.632335131922908,0.66652456458934,0.861021369311887,60,66295,"Burned","South McDougal"
2013,0.658038510783787,0.666611709263439,0.666611709263439,0.675184907743091,10,66295,"Burned","South McDougal"
2014,0.507047972495345,0.703535722119671,0.781909185871485,1.10125151447386,35,66295,"Burned","South McDougal"
2015,0.64150759461624,0.666789694078888,0.723949712337923,0.920711866577675,20,66295,"Burned","South McDougal"
2016,0.52562985074044,0.664134217687587,0.670663777838086,0.82875682523673,20,66295,"Burned","South McDougal"
2017,0.7983705510062,0.811229573927649,0.811229573927649,0.824088596849098,10,66295,"Burned","South McDougal"
2018,0.466041605680293,0.697915529237074,0.684358352284058,0.933518323384545,30,66295,"Burned","South McDougal"
2019,0.555494330986383,0.680987601229372,0.674267419006173,0.828688322109434,50,66295,"Burned","South McDougal"
2020,0.546120712231623,0.773719833975038,0.757356972600031,0.963112673967309,50,66295,"Burned","South McDougal"
