"Year","min_logChl","median_logChl","mean_logChl","max_logChl","nSamples","lagoslakeid","Type","Site"
1984,0.657467024270518,0.909346012204937,0.868529340849488,1.01447491208845,16,14101,"Burned","Fourth McDougal"
1985,0.741651426764398,0.940567448897154,0.890211863573859,0.980911557481154,10,14101,"Burned","Fourth McDougal"
1986,0.655326369843681,0.773669916119602,0.831108000008685,1.13097427531813,16,14101,"Burned","Fourth McDougal"
1987,0.615058794140507,0.840806186934577,0.832016101252797,1.0386912992539,14,14101,"Burned","Fourth McDougal"
1988,0.576934429400237,0.822141588679741,0.796280791676975,0.898789924779811,12,14101,"Burned","Fourth McDougal"
1989,0.740488668733537,0.92245041056184,0.891400797382244,0.961817895933163,10,14101,"Burned","Fourth McDougal"
1990,0.664474346970547,0.847206565796732,0.839496861086399,0.931052825141731,20,14101,"Burned","Fourth McDougal"
1991,0.678945189642944,0.825643557579449,0.814277513044867,1.03120209209096,20,14101,"Burned","Fourth McDougal"
1992,0.793256369600259,0.994302588182435,0.974391965093929,1.1763214257715,10,14101,"Burned","Fourth McDougal"
1993,0.628664020087557,0.848477709216471,0.825430961430715,0.976104407202359,8,14101,"Burned","Fourth McDougal"
1994,0.762250578366994,0.876222051249093,0.927016130792691,1.14345752126082,10,14101,"Burned","Fourth McDougal"
1995,0.686157247175744,0.823067773201436,0.866271343003707,1.11325074907026,14,14101,"Burned","Fourth McDougal"
1996,0.817360613233185,0.848824260956553,0.861612366128157,0.931440329366338,8,14101,"Burned","Fourth McDougal"
1997,0.748751553152556,0.812073166232169,0.825229506501295,0.882540453212422,10,14101,"Burned","Fourth McDougal"
1998,0.492802800357101,0.8253679155366,0.780909934930894,0.92296396768009,14,14101,"Burned","Fourth McDougal"
1999,0.458295332239769,0.525339930229867,0.525339930229867,0.592384528219966,4,14101,"Burned","Fourth McDougal"
2000,0.556005285477061,0.667529017548316,0.654429182499179,0.726653409423025,8,14101,"Burned","Fourth McDougal"
2001,0.43086447761784,0.723175391935107,0.722366473628211,0.978809647299484,14,14101,"Burned","Fourth McDougal"
2002,0.481778250652756,0.707553016958731,0.691195827643952,0.924974537095263,22,14101,"Burned","Fourth McDougal"
2003,0.634893295261958,0.74892106395496,0.741040411250353,0.831426221829535,8,14101,"Burned","Fourth McDougal"
2004,0.688732419191027,0.695054500993324,0.695054500993324,0.70137658279562,4,14101,"Burned","Fourth McDougal"
2005,0.59552821828619,0.809796525328864,0.759628042892364,0.873559385062037,6,14101,"Burned","Fourth McDougal"
2006,0.492086967145614,0.66054555502084,0.644967327948394,0.766691234606283,8,14101,"Burned","Fourth McDougal"
2007,0.430801416167866,0.698940959571567,0.696240898065256,0.904480482223855,16,14101,"Burned","Fourth McDougal"
2008,0.50235101792234,0.590885211397731,0.647781844023863,0.934544936759339,14,14101,"Burned","Fourth McDougal"
2009,0.567473380825622,0.73696310076276,0.740007433640931,0.900922462313629,10,14101,"Burned","Fourth McDougal"
2010,0.407493197310904,0.712628154625974,0.657960695016942,0.808609318497955,10,14101,"Burned","Fourth McDougal"
2011,0.543717799342491,0.657582653022104,0.670266784807473,0.886337893358369,14,14101,"Burned","Fourth McDougal"
2012,0.464763272967482,0.670459665529054,0.651330724551174,0.819058906747325,14,14101,"Burned","Fourth McDougal"
2013,0.620488078226928,0.680473421572199,0.680323123887999,0.755678303319635,12,14101,"Burned","Fourth McDougal"
2014,0.594651230874574,0.727848526782306,0.718305974389721,0.847070977620931,12,14101,"Burned","Fourth McDougal"
2015,0.605094135612097,0.734122244304698,0.75708973238012,0.952695629491483,10,14101,"Burned","Fourth McDougal"
2016,0.496420642288424,0.645909533507354,0.63944831491264,0.825014530062819,12,14101,"Burned","Fourth McDougal"
2017,0.562208614330014,0.649819552669936,0.691563090325445,0.862661103976386,6,14101,"Burned","Fourth McDougal"
2018,0.543880268045939,0.691178440030529,0.697280149629222,0.954889144610124,14,14101,"Burned","Fourth McDougal"
2019,0.508861837400623,0.682136032397077,0.67856859165881,0.778420308994189,22,14101,"Burned","Fourth McDougal"
2020,0.407889715819335,0.719577586178467,0.701701918518843,0.818527603408506,14,14101,"Burned","Fourth McDougal"
