"Year","min_logChl","median_logChl","mean_logChl","max_logChl","nSamples","lagoslakeid","Type","Site"
1984,0.970776813101547,1.01742743745154,1.06599216415693,1.25164011835006,30,30871,"Control","Two Deer Lake"
1985,0.826069706054779,0.911789042888314,0.912637708119587,1.00090304064694,20,30871,"Control","Two Deer Lake"
1986,0.802672394539803,1.00978909863414,1.02732298421778,1.360432091072,50,30871,"Control","Two Deer Lake"
1987,0.855273421086886,0.958435801498482,1.00239810453385,1.24813761849644,35,30871,"Control","Two Deer Lake"
1988,0.543423637648103,0.90771228638415,0.888674641681466,1.05170425284613,40,30871,"Control","Two Deer Lake"
1989,0.846903391251139,0.875338387330738,0.886695498084911,0.963778648255383,35,30871,"Control","Two Deer Lake"
1990,0.726486871175733,0.997427621727036,0.969213379719464,1.13020673346367,70,30871,"Control","Two Deer Lake"
1991,0.649134310611895,0.919147556086022,0.912810357705548,1.26278111869777,55,30871,"Control","Two Deer Lake"
1992,0.741230346068778,0.988218313910749,0.934943903432432,1.02210863983945,20,30871,"Control","Two Deer Lake"
1993,0.820583035295695,0.998832583209775,0.990717733565837,1.17741197407247,35,30871,"Control","Two Deer Lake"
1994,0.815849632339489,0.976696438773728,0.974413420888086,1.1284111736654,20,30871,"Control","Two Deer Lake"
1995,0.713451328255188,0.885660246876439,0.949440086485969,1.21098019630188,25,30871,"Control","Two Deer Lake"
1996,0.735502395262939,0.8393039152199,0.862340787000025,1.03525292229736,20,30871,"Control","Two Deer Lake"
1997,0.775131925247633,0.940211792766606,0.936263245264656,1.08949747027778,20,30871,"Control","Two Deer Lake"
1998,0.712310117618901,0.845316682918636,0.873260931286537,1.04949422624372,40,30871,"Control","Two Deer Lake"
1999,0.39980799138535,0.610757356474361,0.587168008250671,0.72734932866861,20,30871,"Control","Two Deer Lake"
2000,0.505380535489396,0.66606957277957,0.74177078555533,0.933359514427483,45,30871,"Control","Two Deer Lake"
2001,0.512713516822221,0.677321824748175,0.679485889911591,0.768994621070799,35,30871,"Control","Two Deer Lake"
2002,0.45333421437307,0.734518132647324,0.728700367091085,0.88623418515862,60,30871,"Control","Two Deer Lake"
2003,0.625736893014833,0.825040579029324,0.785316137706991,0.921907900437554,30,30871,"Control","Two Deer Lake"
2004,0.471024365401419,0.606762921588897,0.599653423551893,0.702485035450714,40,30871,"Control","Two Deer Lake"
2005,0.671741520696487,0.740543074358417,0.7808206921875,1.02381086410647,30,30871,"Control","Two Deer Lake"
2006,0.585678819230825,0.71464687161311,0.7537462696131,1.07611275621829,50,30871,"Control","Two Deer Lake"
2007,0.64004610775278,0.811083460612155,0.783161237065424,0.984491713041478,45,30871,"Control","Two Deer Lake"
2008,0.48620894346517,0.582232171741645,0.611741673239703,0.763864528172614,40,30871,"Control","Two Deer Lake"
2009,0.602354705662636,0.741562797743397,0.762680663814336,0.924684319467605,25,30871,"Control","Two Deer Lake"
2010,0.663380280751014,0.732116011282066,0.721353100982239,0.75780010061381,20,30871,"Control","Two Deer Lake"
2011,0.542514336402586,0.693675161971033,0.691416255936803,0.818812623832165,40,30871,"Control","Two Deer Lake"
2012,0.464273855824114,0.66367038874518,0.700385990026837,0.973952969146602,60,30871,"Control","Two Deer Lake"
2013,0.454161913165325,0.624409800126182,0.618870579165708,0.778040024205617,15,30871,"Control","Two Deer Lake"
2014,0.767565916022477,0.887766750186949,0.941165847034307,1.19843088040755,25,30871,"Control","Two Deer Lake"
2015,0.935414031522243,0.942844323903355,0.955424225638295,0.998450718551883,25,30871,"Control","Two Deer Lake"
2016,0.663539169145499,0.899548436361032,0.883739721540728,1.03112536157237,30,30871,"Control","Two Deer Lake"
2017,0.605587918487644,0.766465396478828,0.786979323928481,0.986110645684452,30,30871,"Control","Two Deer Lake"
2018,0.625159446194945,0.685845326990005,0.699925748936875,0.788772473625675,15,30871,"Control","Two Deer Lake"
2019,0.599287301684423,0.704494077351041,0.741370231025347,0.878353691515991,60,30871,"Control","Two Deer Lake"
2020,0.626473690662046,0.714388180705298,0.732771801988005,0.897952389813211,35,30871,"Control","Two Deer Lake"
