"Year","min_logChl","median_logChl","mean_logChl","max_logChl","nSamples","lagoslakeid","Type","Site"
1984,0.718534849660373,0.9878324859121,1.00498846727437,1.31526973158606,40,37142,"Control","Eighteen Lake"
1985,0.736288418047322,0.865010258347907,0.835118214639318,0.898560669134032,25,37142,"Control","Eighteen Lake"
1986,0.591230807060257,0.938861760300301,0.938079812544986,1.20962686200187,60,37142,"Control","Eighteen Lake"
1987,0.72334784704905,0.876686531568801,0.862163507200645,1.05708939415251,35,37142,"Control","Eighteen Lake"
1988,0.805218565656635,0.893182772427094,0.897104705739408,1.03965394784584,40,37142,"Control","Eighteen Lake"
1989,0.559354896141645,0.979493951180508,0.959266238081523,1.27908159943228,35,37142,"Control","Eighteen Lake"
1990,0.557429626317243,1.01135463280692,0.982236726749839,1.30206492849379,65,37142,"Control","Eighteen Lake"
1991,0.944820130555395,1.00516313227929,1.05023128381476,1.25559633201288,40,37142,"Control","Eighteen Lake"
1992,0.956244784251076,1.03941986567083,1.15226256833126,1.5962747548872,35,37142,"Control","Eighteen Lake"
1993,0.789665568264201,1.14422817313722,1.08209256388011,1.30877738407228,35,37142,"Control","Eighteen Lake"
1994,0.737253956428826,1.02867440943001,0.972758397320327,1.15377914533586,25,37142,"Control","Eighteen Lake"
1995,0.762025556358792,0.879849579535983,0.918418135002951,1.14984450538218,35,37142,"Control","Eighteen Lake"
1996,0.71551963245157,0.98874346346508,0.962223904970982,1.16786412781752,35,37142,"Control","Eighteen Lake"
1997,0.837301283329527,0.858355901038117,0.876816207014575,0.953251742652536,20,37142,"Control","Eighteen Lake"
1998,0.749762673823941,0.891350953968792,0.89155919253116,1.04566907048331,40,37142,"Control","Eighteen Lake"
1999,0.548333880453892,0.549020279839683,0.549020279839683,0.549706679225475,10,37142,"Control","Eighteen Lake"
2000,0.617679916540266,0.736350205498319,0.732797694483345,0.855059541934875,35,37142,"Control","Eighteen Lake"
2001,0.542649819333315,0.688724256861206,0.691865605264558,0.787113850774944,35,37142,"Control","Eighteen Lake"
2002,0.445895219990938,0.658334474787949,0.688079135235802,0.872873563890246,55,37142,"Control","Eighteen Lake"
2003,0.521775727010147,0.67886662157915,0.697460728513182,0.958949947990451,40,37142,"Control","Eighteen Lake"
2004,0.550972858759992,0.641041252236721,0.6615990787439,0.79735299382524,35,37142,"Control","Eighteen Lake"
2005,0.521814712357454,0.615051384941279,0.640575426798509,0.785328480460135,25,37142,"Control","Eighteen Lake"
2006,0.547557144121201,0.78318120605824,0.728071615966099,0.861410899357328,35,37142,"Control","Eighteen Lake"
2007,0.543878197303073,0.695340801269176,0.724506909483674,0.918154694570395,50,37142,"Control","Eighteen Lake"
2008,0.50797156427772,0.722033047051635,0.762720390191843,1.30630429343355,45,37142,"Control","Eighteen Lake"
2009,0.475093465222613,0.734280382627069,0.707501018080152,0.821257181725087,30,37142,"Control","Eighteen Lake"
2010,0.269730997228715,0.593234088608465,0.564914225565136,0.79345369723546,30,37142,"Control","Eighteen Lake"
2011,0.437650103155771,0.60882431655562,0.666741281950048,0.959001319238685,45,37142,"Control","Eighteen Lake"
2012,0.539034104233646,0.731646812235416,0.724315068603894,0.893341570865798,60,37142,"Control","Eighteen Lake"
2013,0.733166040827171,0.853445440596068,0.992550334948579,1.53014441777501,20,37142,"Control","Eighteen Lake"
2014,0.705402272079328,0.917480494866112,0.898026563062444,1.09858114933128,25,37142,"Control","Eighteen Lake"
2015,0.388965693683748,0.906988089527114,0.811806717762169,1.0442849983107,20,37142,"Control","Eighteen Lake"
2016,0.767853360950673,0.916969829343561,0.963468637657791,1.25208153099337,20,37142,"Control","Eighteen Lake"
2017,0.703549458288358,0.842264595158076,0.810961953830521,0.855769166717573,20,37142,"Control","Eighteen Lake"
2018,0.4810422384899,0.780464186043679,0.728908840761703,0.867723094848112,35,37142,"Control","Eighteen Lake"
2019,0.438527019847011,0.731360552557657,0.71096955364559,0.908509773470293,45,37142,"Control","Eighteen Lake"
2020,0.562595267856624,0.702305343952502,0.6693348304331,0.799216511687735,35,37142,"Control","Eighteen Lake"
