"Year","min_logChl","median_logChl","mean_logChl","max_logChl","nSamples","lagoslakeid","Type","Site"
1984,0.733902156196807,0.912409318466163,0.927465376527206,1.10033299274038,40,38199,"Burned","North McDougal"
1985,0.661941070617506,0.760680652242864,0.779709020673094,0.951881457310782,25,38199,"Burned","North McDougal"
1986,0.615612657866302,0.841080472260692,0.822742327018953,0.947551044301341,60,38199,"Burned","North McDougal"
1987,0.747110078189736,0.886840631002223,0.930607093250358,1.18153380869032,40,38199,"Burned","North McDougal"
1988,0.681593552082875,0.84091263253047,0.846877483228691,1.03984494713265,35,38199,"Burned","North McDougal"
1989,0.637462291838443,0.835166489148028,0.809751898827751,0.90154656916649,40,38199,"Burned","North McDougal"
1990,0.612204311202878,0.878462064324135,0.875744774931449,1.04333033361706,65,38199,"Burned","North McDougal"
1991,0.649057513350981,0.793998277248334,0.828195022422042,1.1226226044609,50,38199,"Burned","North McDougal"
1992,0.719895807412721,0.895728674325744,0.970494970214337,1.36448430470232,30,38199,"Burned","North McDougal"
1993,0.667094357351516,0.924441397989496,0.877801161300475,0.992595990330794,40,38199,"Burned","North McDougal"
1994,0.77679500400193,0.896494488968108,0.869299314107718,0.937737239585118,25,38199,"Burned","North McDougal"
1995,0.678739232093633,0.805810392195478,0.847636195890894,1.24402081331225,40,38199,"Burned","North McDougal"
1996,0.670316869138318,0.838095023151405,0.900421115195199,1.14682449199894,35,38199,"Burned","North McDougal"
1997,0.671295144729999,0.732949767770119,0.771189286897443,0.904372949820057,25,38199,"Burned","North McDougal"
1998,0.631232533950204,0.870252909768581,0.864476351954353,1.03491116527482,40,38199,"Burned","North McDougal"
1999,0.474563075569864,0.612068087633594,0.637306124635126,0.850525247703452,20,38199,"Burned","North McDougal"
2000,0.620507681895241,0.68803985858199,0.722163299979145,0.946139740099672,30,38199,"Burned","North McDougal"
2001,0.485384706358537,0.650094380598506,0.662917426842924,0.859840235399045,40,38199,"Burned","North McDougal"
2002,0.543782901195459,0.722215293588067,0.725416218814827,0.866388745127473,65,38199,"Burned","North McDougal"
2003,0.625936714176566,0.659810484432074,0.755978059536026,1.02986258576938,30,38199,"Burned","North McDougal"
2004,0.47563492871567,0.656880414991367,0.63088722951734,0.745734265008164,30,38199,"Burned","North McDougal"
2005,0.595927820507286,0.74315682864897,0.747821094139094,0.887759446104661,40,38199,"Burned","North McDougal"
2006,0.531658631305468,0.721506881595283,0.745949699182713,1.00155783783404,40,38199,"Burned","North McDougal"
2007,0.5280362121203,0.67329080565465,0.701900759777818,0.910079512925989,55,38199,"Burned","North McDougal"
2008,0.503522208002849,0.76623131354091,0.747403138493853,0.971192424850506,45,38199,"Burned","North McDougal"
2009,0.590373797076192,0.740811702144369,0.746119831959972,0.90296044478865,45,38199,"Burned","North McDougal"
2010,0.448077313750761,0.724892488078482,0.732268580257728,0.997592569875048,30,38199,"Burned","North McDougal"
2011,0.627989014187744,0.717072985464626,0.722679055790488,0.881732682440896,40,38199,"Burned","North McDougal"
2012,0.470658758251674,0.676342748362699,0.692241128834594,0.972619051462532,60,38199,"Burned","North McDougal"
2013,0.432947744516903,0.625077129310652,0.579661336074727,0.680959134396625,15,38199,"Burned","North McDougal"
2014,0.675255073735494,0.72716841007639,0.780982406275972,1.08963970880196,30,38199,"Burned","North McDougal"
2015,0.733717635532933,0.749512165150918,0.749512165150918,0.765306694768903,10,38199,"Burned","North McDougal"
2016,0.517311816789723,0.648216612163554,0.656112009405203,0.81070299650398,20,38199,"Burned","North McDougal"
2017,0.744634573099774,0.755096414511196,0.755096414511196,0.765558255922619,10,38199,"Burned","North McDougal"
2018,0.494617009104264,0.702018148685469,0.696712851348402,0.938954276846487,35,38199,"Burned","North McDougal"
2019,0.427945168047603,0.643911907167363,0.632741329571213,0.844367833152749,50,38199,"Burned","North McDougal"
2020,0.396592640934982,0.59810338095894,0.580565581856062,0.702665094936662,30,38199,"Burned","North McDougal"
