"Year","min_logChl","median_logChl","mean_logChl","max_logChl","nSamples","lagoslakeid","Type","Site"
1984,0.790097033919954,0.930282580191925,0.92953043160551,1.05439021435273,40,113774,"Burned","Lake Gegoka"
1985,0.707451544897953,0.803965401955386,0.795464460776721,0.866475494298158,20,113774,"Burned","Lake Gegoka"
1986,0.621669664113872,0.896802006519755,0.890298128620266,1.07312264813642,45,113774,"Burned","Lake Gegoka"
1987,0.72434472960984,0.820368222551435,0.856656344949744,1.00273200560818,45,113774,"Burned","Lake Gegoka"
1988,0.705660740310602,0.81623042887885,0.831557501193298,1.04592062988712,40,113774,"Burned","Lake Gegoka"
1989,0.690634716450247,0.852147868102504,0.856350487606125,1.05518502407568,40,113774,"Burned","Lake Gegoka"
1990,0.760418696399642,0.87771729663319,0.876264413357921,0.991264862068988,60,113774,"Burned","Lake Gegoka"
1991,0.638071978228114,0.77695358358057,0.833442617336083,1.06014235850873,35,113774,"Burned","Lake Gegoka"
1992,0.678579198477918,1.01856428707862,0.992204030242996,1.2597538015037,30,113774,"Burned","Lake Gegoka"
1993,0.768888346647439,0.817027937460843,0.850823206677879,1.02459270293708,40,113774,"Burned","Lake Gegoka"
1994,0.741350514345344,0.828497406571145,0.874641542457967,1.05271115253575,25,113774,"Burned","Lake Gegoka"
1995,0.5917852084636,0.813360005910132,0.821332606883994,0.995332430300107,45,113774,"Burned","Lake Gegoka"
1996,0.635810973677099,0.863378840352504,0.854571744323131,1.02954603175972,30,113774,"Burned","Lake Gegoka"
1997,0.699913676001113,0.780161317013031,0.785334221479716,0.937521466916851,25,113774,"Burned","Lake Gegoka"
1998,0.812494516764852,0.854827719388281,0.881407272265073,1.05505275712785,30,113774,"Burned","Lake Gegoka"
1999,0.580954047981131,0.597890922005047,0.597890922005047,0.614827796028963,10,113774,"Burned","Lake Gegoka"
2000,0.60331510663848,0.764031639098463,0.759317509300606,0.900298966203968,40,113774,"Burned","Lake Gegoka"
2001,0.509588254793328,0.77689886824337,0.760633692399841,0.966613916843399,45,113774,"Burned","Lake Gegoka"
2002,0.391240062609902,0.744513667214546,0.708369322001748,0.830279873395474,55,113774,"Burned","Lake Gegoka"
2003,0.544526485362936,0.745264368432325,0.738914329477647,0.885353986698315,40,113774,"Burned","Lake Gegoka"
2004,0.58239804963627,0.637571661166483,0.654937778483892,0.766840875344692,25,113774,"Burned","Lake Gegoka"
2005,0.691531612726046,0.848417960118938,0.830966728167735,0.954036490835496,35,113774,"Burned","Lake Gegoka"
2006,0.503036567278223,0.691954448948925,0.697890599008421,0.856617460772093,40,113774,"Burned","Lake Gegoka"
2007,0.461573182079528,0.688333229244157,0.684221114723005,0.896877274745695,55,113774,"Burned","Lake Gegoka"
2008,0.641136617604939,0.773858016272054,0.782581096641429,1.06524428825915,40,113774,"Burned","Lake Gegoka"
2009,0.545617877762284,0.693922366866578,0.670426144086123,0.764987733933974,35,113774,"Burned","Lake Gegoka"
2010,0.107617036853431,0.545045257609023,0.530524838699112,0.916465683911258,25,113774,"Burned","Lake Gegoka"
2011,0.574802268678235,0.673517014110104,0.716898235965822,0.93924654284875,35,113774,"Burned","Lake Gegoka"
2012,0.593609411869464,0.667670198334076,0.697960788311087,0.85040775608077,65,113774,"Burned","Lake Gegoka"
2013,0.423031568710133,0.560880020563982,0.552105156088129,0.663629014514419,20,113774,"Burned","Lake Gegoka"
2014,0.517519924054333,0.636036017015486,0.721054086097771,1.13264555369012,35,113774,"Burned","Lake Gegoka"
2015,0.620564391523972,0.787558858300063,0.753367694043544,0.873634279575276,25,113774,"Burned","Lake Gegoka"
2016,0.443383350208787,0.59643867564366,0.627480434711466,0.804208474279891,35,113774,"Burned","Lake Gegoka"
2017,0.57750741309094,0.614951362534359,0.614951362534359,0.652395311977778,10,113774,"Burned","Lake Gegoka"
2018,0.463101411068691,0.608626682251823,0.634726366298135,0.933179137267283,30,113774,"Burned","Lake Gegoka"
2019,0.405747531126209,0.66780771643151,0.640515925035862,0.791316063613915,60,113774,"Burned","Lake Gegoka"
2020,0.505283606901444,0.6082031154936,0.619136855462157,0.720143933933008,30,113774,"Burned","Lake Gegoka"
