Site,Date,ProfileDepth_m,WaterTemp_C,SpecCond_uScm,LDO_mgL,LDO_pct,pH
Grouse Lake,8/22/2022,0.5,22.56,73.6,7.88,95.6,7.5
Grouse Lake,8/22/2022,1,19.34,66.1,5.96,68.1,7.28
Grouse Lake,8/22/2022,2,18.68,63.8,5.98,67.3,7.1
West Chub Lake,8/22/2022,0,22.53,81.5,8.61,111,7.18
West Chub Lake,8/22/2022,1,22.08,82.6,8.34,100.6,7.18
West Chub Lake,8/22/2022,2,20.57,81.9,6.32,74.2,6.95
Teamster Lake,8/22/2022,0,24.18,176,8.5,108,7.87
Teamster Lake,8/22/2022,0.5,21.41,176.3,9.49,113.2,7.94
Teamster Lake,8/22/2022,1,20.49,176.9,8.79,103.6,7.74
Teamster Lake,8/22/2022,1.3,19.88,189.1,7.08,79.9,6.91
Wampus Lake,8/22/2022,0,23.58,162.3,7.55,93.8,7.27
Wampus Lake,8/22/2022,0.5,23.58,162.3,7.56,93.8,7.3
Wampus Lake,8/22/2022,1,23.56,163.8,4.9,60.9,7.08
Greenwood Lake,8/22/2022,0,23.8,36.9,7.2,89.7,6.17
Greenwood Lake,8/22/2022,0.5,23.63,37.1,7.14,88.7,6.17
Greenwood Lake,8/22/2022,1,19.85,37.1,6.06,69.9,5.95
Sand Lake,8/22/2022,0,23.55,58.5,8.6,107.2,9.11
Sand Lake,8/22/2022,0.5,23.74,58.5,8.63,107.2,8.5
Sand Lake,8/22/2022,1,22.19,58.2,8.3,100.4,9.36
Sand Lake,8/22/2022,2,20.88,58.4,6.88,81.4,7.76
Sand Lake,8/22/2022,3,19.59,56.7,4.75,54.4,7.26
Eighteen Lake,8/23/2022,0,22.35,54.3,9.5,115.2,8.42
Eighteen Lake,8/23/2022,1,22.29,54.4,9.62,116.4,8.4
Eighteen Lake,8/23/2022,2,22.18,54.3,9.68,117,8.43
Eighteen Lake,8/23/2022,2.5,21.8,54.3,9.83,117.8,8.46
Highlife Lake,8/23/2022,0,22.93,11.5,8.06,98.8,6.17
Highlife Lake,8/23/2022,1,20.22,11.5,7.99,96.6,6.05
Highlife Lake,8/23/2022,2,21.33,11.5,7.57,89.8,5.9
Highlife Lake,8/23/2022,3,19.39,13.8,3.86,44.1,5.57
Highlife Lake,8/23/2022,4,14.66,25.5,0.81,8.3,5.43
Highlife Lake,8/23/2022,4.5,13.42,31,0.74,7.4,5.53
Baird Lake,8/23/2022,0,22.66,59.1,7.87,95.5,7.13
Baird Lake,8/23/2022,0.5,22.66,59.1,7.85,95.7,7.13
Baird Lake,8/23/2022,1,22.53,59.2,7.85,95.2,7.12
Baird Lake,8/23/2022,1.5,22.34,61.5,7.04,84.6,6.98
Unnamed Lake,8/23/2022,0,20.24,48,6.26,72.8,6.23
Unnamed Lake,8/23/2022,1,19.71,48.3,6.26,72.1,6.18
Unnamed Lake,8/23/2022,2,19.16,48.3,6.13,69.9,6.14
Unnamed Lake,8/23/2022,3,18.87,50.6,5.66,64,6.09
Unnamed Lake,8/23/2022,4,18.7,50.3,5.62,63.4,6.12
Two Deer Lake,8/23/2022,0,23.59,88.5,8.43,104.6,8.06
Two Deer Lake,8/23/2022,0.5,23.5,88.8,8.45,104.6,7.83
Two Deer Lake,8/23/2022,1,23.33,88.4,8.32,103.6,7.7
Two Deer Lake,8/23/2022,1.5,22.26,89.4,7.73,94.3,7.47
Two Deer Lake,8/23/2022,2,21.86,90.1,7.16,86.4,7.32
Wadop Lake,8/23/2022,0,23.17,92.7,7.88,95.7,7.97
Wadop Lake,8/23/2022,0.5,23.06,92.6,7.79,95.7,7.61
Wadop Lake,8/23/2022,1,20.31,92.8,6.57,76.2,7.13
Wadop Lake,8/23/2022,1.5,9.55,86.4,13.25,122.9,7.37
Gander Lake,8/23/2022,0,23.38,53.4,9.16,113.3,8.52
Gander Lake,8/23/2022,0.5,23.33,53.5,9.13,112.9,8.18
Gander Lake,8/23/2022,1,23.22,53.4,9.24,113.7,8.08
Gander Lake,8/23/2022,1.5,22.94,52.9,9.3,114.3,8.17
Gander Lake,8/23/2022,2,22.7,53,9.2,118,8.3
Cloquet Lake,8/23/2022,0,21.4,46,7.35,87.6,7.31
Cloquet Lake,8/23/2022,0.5,21.27,45.9,7.35,87.4,7.26
Cloquet Lake,8/23/2022,1,21.09,46,7.28,86.2,7.29
Cloquet Lake,8/23/2022,1.5,19.61,44.8,2.68,26.8,6.54
Lake Gegoka,8/24/2022,0,20.92,64.5,5.94,70,6.61
Lake Gegoka,8/24/2022,0.5,20.93,64.3,5.87,69.2,6.6
Lake Gegoka,8/24/2022,1,19.54,58,0.74,8.4,6.18
Lake Gegoka,8/24/2022,1.5,16.94,48.9,0.77,8.3,6.04
Lake Gegoka,8/24/2022,2,16.73,49.3,0.72,7.8,5.98
North McDougal,8/24/2022,0,22.06,56.4,7.17,86.2,6.82
North McDougal,8/24/2022,0.5,22.12,56.2,7.14,86.1,6.81
North McDougal,8/24/2022,1,22.13,56.5,7.11,85.9,6.79
North McDougal,8/24/2022,1.5,22.11,56.6,7.09,85.7,6.79
North McDougal,8/24/2022,2,20.27,57.9,4.69,54.4,6.55
North McDougal,8/24/2022,2.5,19.67,60.2,3.98,45.5,6.49
Middle McDougal,8/24/2022,0,21.54,52.5,7.31,87.2,6.69
Middle McDougal,8/24/2022,0.5,21.56,52.3,7.27,86.8,6.77
Middle McDougal,8/24/2022,1,20.65,54.2,2.71,28.4,6.4
South McDougal,8/24/2022,0,21.08,52.8,5.8,67.8,6.49
South McDougal,8/24/2022,0.5,21.1,52.7,5.69,67.1,6.42
South McDougal,8/24/2022,1,21.1,52.6,5.7,67.3,6.45
South McDougal,8/24/2022,1.5,21.1,52.7,5.65,67.9,6.44
Dunnigan Lake,8/24/2022,0,22.52,15.1,8.27,100.5,6.77
Dunnigan Lake,8/24/2022,0.5,22.59,15,8.26,100.6,6.73
Dunnigan Lake,8/24/2022,1,22.62,15.1,8.28,101.1,6.67
Dunnigan Lake,8/24/2022,1.5,22.6,15,8.29,100.9,6.65
Dunnigan Lake,8/24/2022,2,22.57,15,8.23,100.1,6.61
Dunnigan Lake,8/24/2022,2.5,22.22,15.2,8.01,96.7,6.5
Dunnigan Lake,8/24/2022,3,22.09,15.1,7.92,95.4,6.55
Lil Chub Lake,8/25/2022,0,21.09,44.2,6.42,77,6.68
Lil Chub Lake,8/25/2022,0.5,20.22,44.3,6.28,73,6.63
Lil Chub Lake,8/25/2022,1,19.52,45.4,4.7,52.8,6.45
Fishtrap Lake,8/25/2022,0,20.75,26.5,7.5,88.1,6.6
Fishtrap Lake,8/25/2022,0.5,20.73,26.2,7.47,87.8,6.57
Fishtrap Lake,8/25/2022,1,20.34,25.7,7.24,84.3,6.48
Stony Lake,8/25/2022,0,18.93,51.7,5.24,59.4,6.43
Stony Lake,8/25/2022,0.5,18.88,51.3,5.29,59.9,6.44
Stony Lake,8/25/2022,1,18.86,51.3,5.26,59.4,6.45
Teamster Lake,9/19/2022,0,17.41,200.7,8.74,95.7,7.47
Teamster Lake,9/19/2022,0.5,16.56,199.7,9.03,97.6,7.41
Teamster Lake,9/19/2022,1,16.15,196.9,9.45,100.7,7.5
Flathorn Lake,9/19/2022,0,15.4,109.5,7.86,82.6,7.51
Flathorn Lake,9/19/2022,1,15.04,108.6,8.01,83.4,7.36
Flathorn Lake,9/19/2022,2,13.12,109.7,7.59,75.5,7.21
Flathorn Lake,9/19/2022,2.5,12.85,110.3,6.31,62.2,6.93
Rat Lake,9/19/2022,0,16.94,110.5,9.12,100.4,7.75
Rat Lake,9/19/2022,0.5,15.21,109.8,9.54,99.8,7.73
Rat Lake,9/19/2022,1,14.91,110,9.2,94.8,7.43
Mitawan Lake,9/19/2022,0,17.8,117,8.11,89.6,7.79
Mitawan Lake,9/19/2022,1,17.51,116.9,8.1,88.8,7.68
Mitawan Lake,9/19/2022,2,17.2,116.7,8.01,87.4,7.57
Mitawan Lake,9/19/2022,3,17.17,116.9,7.83,85.2,7.42
Mitawan Lake,9/19/2022,4,17.16,116.4,7.81,85.1,7.38
Mitawan Lake,9/19/2022,5,16.95,117.5,6.3,68.4,7.14
Kitigan Lake,9/19/2022,0,17.05,114,8.77,95.1,8.06
Kitigan Lake,9/19/2022,0.5,16.75,113.8,8.77,94.7,8
Kitigan Lake,9/19/2022,1,16.46,113.2,8.95,96,7.94
Kitigan Lake,9/19/2022,1.5,16.41,113.1,9.08,97.6,7.93
Grouse Lake,9/19/2022,0,16.51,86.8,8.89,95.7,7.69
Grouse Lake,9/19/2022,1,16.42,86.6,8.8,94.2,7.54
Grouse Lake,9/19/2022,2,15.78,91.2,7.34,77.3,7.07
Eighteen Lake,9/19/2022,0,16.33,53,9.13,97.1,7.69
Eighteen Lake,9/19/2022,1,16.31,53.1,9.01,96.3,7.7
Eighteen Lake,9/19/2022,2,16.26,53.1,9.15,97.8,7.73
Eighteen Lake,9/19/2022,3,16.29,54.2,8.89,95.1,7.65
Sand Lake,9/19/2022,0,16.74,60.2,7.96,86.2,6.96
Sand Lake,9/19/2022,0.5,16.75,60.2,7.98,86.1,6.97
Sand Lake,9/19/2022,1,16.74,60.2,8.01,86.5,6.94
Sand Lake,9/19/2022,1.5,16.74,60.2,7.96,86,6.92
Sand Lake,9/19/2022,2,16.74,60.2,8,86.3,6.91
Sand Lake,9/19/2022,2.5,16.74,60.2,7.94,85.8,6.8
Sand Lake,9/19/2022,3,16.74,60.3,7.97,86,6.85
Slate Lake,9/20/2022,0,19.59,76.1,7.71,89.6,7.83
Slate Lake,9/20/2022,0.5,19.12,75.5,7.73,86.3,7.59
Slate Lake,9/20/2022,1,17.02,76.4,7.65,82.7,7.4
Dunnigan Lake,9/20/2022,0,18.92,14.3,9.13,103.3,8.56
Dunnigan Lake,9/20/2022,1,18.74,14.1,9.12,103,7.84
Dunnigan Lake,9/20/2022,2,18.58,14.1,9.15,102.6,7.53
Dunnigan Lake,9/20/2022,3,17.96,14.1,9.07,100.2,7.3
Lake Gegoka,9/20/2022,0,17.64,70.6,6.11,67,8.02
Lake Gegoka,9/20/2022,0.5,17.4,70.3,6.07,66.4,7.54
Lake Gegoka,9/20/2022,1,17.25,70.1,6.07,66.2,7.26
Lake Gegoka,9/20/2022,2,16.66,70.1,5.88,63.4,7.11
Middle McDougal,9/20/2022,0,18.06,56.5,8.07,89.4,7.58
Middle McDougal,9/20/2022,0.5,17.51,56.9,8.06,88.3,7.34
Middle McDougal,9/20/2022,1,16.14,58.4,6.47,69.1,7.05
South McDougal,9/20/2022,0,17.07,53.7,8.24,89.5,8.03
South McDougal,9/20/2022,0.5,17.04,53.8,8.18,89,7.41
South McDougal,9/20/2022,1,16.99,53.7,8.15,88.5,7.29
North McDougal,9/20/2022,0,17.32,59.1,7.77,85,7.41
North McDougal,9/20/2022,0.5,17.3,59,7.77,85,7.19
North McDougal,9/20/2022,1,17.26,59.2,7.77,84.9,7.06
North McDougal,9/20/2022,2,17.16,59.1,7.76,84.7,7
Greenwood Lake,9/20/2022,0,16.6,37.7,8.31,89.4,7.03
Greenwood Lake,9/20/2022,0.5,16.59,37.8,8.31,89.5,6.7
Greenwood Lake,9/20/2022,1,16.58,37.5,8.28,89.3,6.69
Wampus Lake,9/22/2022,0,13.16,176,8.7,87,7.77
Wampus Lake,9/22/2022,0.5,13.18,176,8.71,87.1,7.74
Wampus Lake,9/22/2022,1,13.2,176.1,8.83,88.2,7.67
Wadop Lake,9/22/2022,0,14.68,95.4,9.27,95.8,7.01
Wadop Lake,9/22/2022,1,14.13,95.5,9.28,94.8,7.01
Wadop Lake,9/22/2022,2,7.82,91.6,12.7,113.4,6.53
Cloquet Lake,9/22/2022,0,15.76,48.8,8.68,91.9,7.35
Cloquet Lake,9/22/2022,1,14.63,48.5,8.89,91.6,7.36
Cloquet Lake,9/22/2022,2,14.24,48.5,8.86,90.1,7.26
West Chub Lake,9/22/2022,0,15.06,93.1,9.35,97.6,7.74
West Chub Lake,9/22/2022,1,14.9,93.4,9.33,96.9,7.67
West Chub Lake,9/22/2022,2,14.45,93.3,9.28,95.4,7.52
West Chub Lake,9/22/2022,3,14.31,93.5,9.17,94,7.54
August Lake,9/22/2022,0,16.75,44.8,8.49,91.2,7.02
August Lake,9/22/2022,1,16.77,44.8,8.42,91,6.97
August Lake,9/22/2022,2,16.77,44.8,8.39,90.6,6.95
August Lake,9/22/2022,3,16.76,44.8,8.38,90.5,6.94
August Lake,9/22/2022,4,16.73,44.8,8.35,90.1,6.83
August Lake,9/22/2022,4.5,16.69,44.7,8.19,88.3,6.85
Two Deer Lake,9/22/2022,0,16.23,92.1,9.06,96.9,7.41
Two Deer Lake,9/22/2022,1,15.96,92.2,8.95,95,7.39
Two Deer Lake,9/22/2022,2,15.96,92.3,8.98,95.5,7.42
Highlife Lake,9/26/2022,0,14.12,11.3,8.67,89.5,6.74
Highlife Lake,9/26/2022,1,14.15,11.3,8.63,88.1,6.54
Highlife Lake,9/26/2022,2,14.16,11.3,8.65,88.3,6.41
Highlife Lake,9/26/2022,3,14.14,11.3,8.59,87.8,6.36
Highlife Lake,9/26/2022,4,14.14,11.4,8.6,87.8,6.29
Highlife Lake,9/26/2022,5,14.13,11.6,8.52,86.9,6.29
Baird Lake,9/26/2022,0,12.93,56.9,8.6,85.4,7.32
Baird Lake,9/26/2022,0.5,12.95,57,8.62,85.6,7.32
Baird Lake,9/26/2022,1,12.95,57.2,8.64,85.9,7.3
Baird Lake,9/26/2022,1.5,12.96,57.2,8.6,85.5,7.18
Gypsy Lake,9/26/2022,0,14.23,60.8,6.71,68.7,5.87
Gypsy Lake,9/26/2022,1,14.26,60.9,6.71,68.6,5.79
Gypsy Lake,9/26/2022,2,14.26,60.8,6.7,68.6,5.74
Gypsy Lake,9/26/2022,3,14.26,60.8,6.73,68.9,5.65
Gypsy Lake,9/26/2022,4,14.26,60.8,5.03,51.4,5.78
Fishtrap Lake,9/28/2022,0,10.24,21.8,10.23,95.6,6.69
Fishtrap Lake,9/28/2022,0.5,10.08,21.7,10.27,95.6,6.7
Fishtrap Lake,9/28/2022,1,9.81,21.7,10.18,94.2,6.64
Gander Lake,9/28/2022,0,11.21,50.1,10.32,98.7,7.47
Gander Lake,9/28/2022,0.5,11.2,50.7,10.36,99,7.46
Gander Lake,9/28/2022,1,11.19,50.7,10.37,99.2,7.47
Gander Lake,9/28/2022,2,11.19,50.3,10.36,99,7.46
Lil Chub Lake,9/28/2022,0,11.85,40.9,10.01,97,7.02
Lil Chub Lake,9/28/2022,0.5,10.86,40.4,9.83,93.2,7.01
Lil Chub Lake,9/28/2022,1,9.37,41.2,9.87,90.1,6.98
Unnamed Lake,9/28/2022,0,8.97,49,8.92,80.9,6.7
Unnamed Lake,9/28/2022,1,8.91,49.4,8.96,81.1,6.71
Unnamed Lake,9/28/2022,2,8.77,49.5,8.91,80.4,6.71
Unnamed Lake,9/28/2022,3,8.76,49.5,8.85,79.8,6.72
Unnamed Lake,9/28/2022,4,8.53,49.7,8.83,79.1,6.72
Unnamed Lake,9/28/2022,5,8.52,50.2,8.76,78.4,6.72
