Lake,Color ,Source,Type,Site,Lagoslakeid,Month,Month_Order,Date,QAQC,Chloro,Phaeo,TP,OP,TN,NH4N,NO2NO3N,ANCmg,ANCaueq,TSS,TSVS,DOC
control drainage,blue,drainage,control,Grouse Lake,3839,june,6,9-Jun-22,NA,NA,NA,20,NA,706,21,2,NA,NA,6,5.2,19.58
control isolated,light sky blue,isolated,control,Gypsy Lake,59050,june,6,8-Jun-22,NA,NA,NA,21,NA,539,23,NA,NA,NA,2.7,3,12.26
control isolated,light sky blue,isolated,control,Highlife Lake,3550,june,6,8-Jun-22,NA,NA,NA,66,NA,499,12,1,NA,NA,1.2,1.2,8.38
control drainage,blue,drainage,control,Kitigan Lake,58010,june,6,8-Jun-22,NA,NA,NA,10,NA,333,10,NA,47.2,943.2,2.1,2.1,4.9
burned drainage,red,drainage,sample,Lake Gegoka,113774,june,6,8-Jun-22,NA,NA,NA,14,NA,663,12,NA,NA,NA,2.2,2.5,20.04
burned isolated,blue,isolated,sample,Lil Chub Lake,66287,june,6,13-Jun-22,NA,NA,NA,23,NA,732,9,NA,25.5,509.6,3.8,3.2,20.98
burned drainage,red,drainage,sample,Middle McDougal,27717,june,6,7-Jun-22,NA,NA,NA,31,NA,836,25,NA,14.2,284,3.9,3.7,17.78
control drainage,blue,drainage,control,Mitawan Lake,21441,june,6,8-Jun-22,NA,NA,NA,10,NA,214,5,NA,48.4,967.2,1.5,1.7,4.82
burned drainage,red,drainage,sample,North McDougal,38199,june,6,7-Jun-22,NA,NA,NA,22,NA,888,27,17,10.3,204.8,3.5,2.3,29.25
control drainage,blue,drainage,control,Rat Lake,127093,june,6,10-Jun-22,NA,NA,NA,20,NA,683,20,5,23.1,461.2,2.9,2.1,19.2
burned drainage,red,drainage,sample,Sand Lake,414,june,6,9-Jun-22,NA,NA,NA,19,NA,738,46,73,NA,NA,1.2,1.6,19.52
burned drainage,red,drainage,sample,Slate Lake,430,june,6,7-Jun-22,NA,NA,NA,30,NA,953,15,1,14,279,4.4,2.6,26.21
burned drainage,red,drainage,sample,South McDougal,66295,june,6,7-Jun-22,NA,NA,NA,33,NA,987,19,NA,10.7,213.5,3.6,2.3,25.35
burned drainage,red,drainage,sample,Stony Lake,50749,june,6,9-Jun-22,NA,NA,NA,39,NA,903,23,14,NA,NA,3.7,2.4,27.73
burned isolated,blue,isolated,sample,Teamster Lake,29814,june,6,9-Jun-22,NA,NA,NA,18,NA,547,28,NA,30.3,606,2.8,3,9.57
control drainage,blue,drainage,control,Two Deer Lake,30871,june,6,8-Jun-22,NA,NA,NA,12,NA,317,19,NA,41.8,835.8,1.5,1.8,4.92
burned drainage,red,drainage,sample,Unnamed Lake,15139,june,6,9-Jun-22,NA,NA,NA,26,NA,951,12,11,10.3,206.5,3.7,3.4,31.84
control drainage,blue,drainage,control,Wadop Lake,102493,june,6,10-Jun-22,NA,NA,NA,12,NA,406,16,18,27.9,557.7,1.2,1,9.23
burned isolated,blue,isolated,sample,Wampus Lake,73430,june,6,9-Jun-22,NA,NA,NA,13,NA,521,15,NA,51.1,1020.3,1,1.3,6.61
burned drainage,red,drainage,sample,West Chub Lake,133329,june,6,13-Jun-22,NA,NA,NA,19,NA,718,22,NA,25.1,502,1.8,1.3,14.53
control drainage,blue,drainage,control,August Lake,63,july,7,13-Jul-22,NA,NA,NA,NA,NA,NA,NA,9,12.7,253.1,1.8,1.9,NA
control isolated,light sky blue,isolated,control,Baird Lake,139473,july,7,18-Jul-22,NA,NA,NA,NA,NA,NA,NA,NA,26.6,530.9,NA,NA,NA
control drainage,blue,drainage,control,Cloquet Lake,57275,july,7,13-Jul-22,NA,NA,NA,NA,NA,NA,NA,1,15.8,316,4.8,4.4,NA
control isolated,light sky blue,isolated,control,Dunnigan Lake,2867,july,7,14-Jul-22,NA,NA,NA,NA,NA,NA,NA,14,4,80.6,NA,NA,NA
control isolated,light sky blue,isolated,control,Eighteen Lake,37142,july,7,15-Jul-22,NA,NA,NA,NA,NA,NA,NA,NA,24.4,487.6,NA,NA,NA
burned isolated,blue,isolated,sample,Fishtrap Lake,51824,july,7,14-Jul-22,NA,NA,NA,NA,NA,NA,NA,23,6,120.5,NA,NA,NA
control drainage,blue,drainage,control,Flathorn Lake,121215,july,7,13-Jul-22,NA,NA,NA,NA,NA,NA,NA,20,42.3,845.8,2.5,2.2,NA
burned drainage,red,drainage,sample,Fourth McDougal,14101,july,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
control drainage,blue,drainage,control,Gander Lake,20349,july,7,14-Jul-22,NA,NA,NA,NA,NA,NA,NA,6,22.2,443.6,NA,NA,NA
burned drainage,red,drainage,sample,Greenwood Lake,223,july,7,15-Jul-22,NA,NA,NA,NA,NA,NA,NA,NA,7.2,143.8,NA,NA,NA
