Site,Date,Chloro_ppb,Phaeo_ppb,TP_ppb,TN_ppb,NH4N_ppb,NO2NO3_ppb,ANC_mgCaCO3L,ANC_ueqL,TSS_mgL,TSVS_mgL,DOC_ppm
Gypsy Lake,13-Jul-22,1.2,1,29,591,8,13,4.6,92.9,3.6,3.3,14
Kitigan Lake,13-Jul-22,1.7,0.8,13,259,9,0,52.5,1049.7,1.3,1.2,4.9
Mitawan Lake,13-Jul-22,2.5,0.8,11,225,5,0,45.4,906.5,1.3,1.1,4.6
Sand Lake,13-Jul-22,2.4,2.4,23,704,21,74,18.5,369.3,2.3,1.6,18.8
Stony Lake,13-Jul-22,4.2,6,43,1022,19,29,13,259.2,3.6,2.1,28.7
Teamster Lake,13-Jul-22,8,3.2,20.9,710,12,0,37.5,750.3,1.3,1.4,11.5
Wampus Lake,13-Jul-22,1.7,0.6,12,681,19,0,55.2,1102.8,3.2,2.8,7.4
Dunnigan Lake,14-Jul-22,3.9,1.8,10,484,31,14,4,80.6,2,0.8,6.8
Fishtrap Lake,14-Jul-22,9,4.4,29,980,26,23,6,120.5,9.6,8.6,16.5
Gander Lake,14-Jul-22,1.1,4.8,12,485,6,6,22.2,443.6,4.4,3.3,7.3
Middle McDougal,14-Jul-22,2.9,1.6,27,917,36,4,18.3,364.8,5.8,2.4,15.9
North McDougal,14-Jul-22,5.4,4.2,31,850,18,63,18.8,376.2,4.8,3.1,25.8
Slate Lake,14-Jul-22,6,3.8,31,816,13,10,30.3,605.2,6.5,2.4,21.2
South McDougal,14-Jul-22,5.3,5.1,42,920,11,0,15.9,317.8,6,3.9,26
Unnamed Lake,14-Jul-22,0.9,1.5,26,1038,47,68,34.6,692,3.3,1.3,30.4
Eighteen Lake,15-Jul-22,1.2,1.7,13,460,13,0,24.4,487.6,2,1.5,16.6
Greenwood Lake,15-Jul-22,6.2,3.1,28,921,15,0,7.2,143.8,3,2,28.4
Lil Chub Lake,15-Jul-22,5.2,1.7,20,851,12,0,15.5,309.5,4.7,4.9,24.2
Rat Lake,15-Jul-22,1.8,0.7,16,459,16,0,40.5,810,1.4,1.6,11.8
Two Deer Lake,15-Jul-22,6.2,2.8,12,383,8,0,44.6,890.2,2.1,1.8,5.1
Wadop Lake,15-Jul-22,1.4,0.7,11,385,12,24,34.2,684.4,2.6,1.9,6.3
West Chub Lake,15-Jul-22,4.4,3.6,22,975,20,0,30.5,609.1,5.4,5.1,5.6
Baird Lake,18-Jul-22,2.9,1.4,31,1265,15,0,26.6,530.9,14.6,12.7,13
Grouse Lake,18-Jul-22,2.5,1,18,509,7,0,35.6,711,1.9,0,13.3
Highlife Lake,18-Jul-22,4.3,2.2,11,405,9,0,1.9,38.3,1.7,2.4,8.7
Lake Gegoka,18-Jul-22,1.7,1,24,751,10,0,21.4,427.4,2.7,1.5,20.5
August Lake,22-Aug-22,5,2,18,578,9,0,14.6,291.4,2.6,2,11.8
Flathorn Lake,22-Aug-22,4.1,1.4,25,1124,19,15,21.8,436.3,3,2,29.7
Greenwood Lake,22-Aug-22,3.5,2,24,1037,16,0,8.9,178.4,4,2.7,29.3
Grouse Lake,22-Aug-22,5,1.8,24,953,17,3,25.1,501.9,2,1.9,21.5
Gypsy Lake,22-Aug-22,4.5,2.2,17,536,9,0,2.3,46.5,2.5,2.2,11.6
Kitigan Lake,22-Aug-22,2.8,1,11,271,6,0,50,999.4,0.9,0.9,4.8
Mitawan Lake,22-Aug-22,2.7,0.7,11,297,6,0,51.2,1022.9,1.5,1.5,4.4
Rat Lake,22-Aug-22,3.2,1.4,23,1085,27,6,21.2,422.9,1.7,1.6,28.2
Sand Lake,22-Aug-22,4.3,2.1,21,711,10,0,20,399.2,2.7,1.6,18.5
Slate Lake,22-Aug-22,2.7,1,28,883,19,4,23.4,467,3.4,2.1,27.6
Teamster Lake,22-Aug-22,1.3,0.8,15,626,11,0,38.3,766,1.8,1.2,10.3
Wampus Lake,22-Aug-22,2.4,0.8,15,1844,1137,1,69.4,1387.3,3.4,3.5,8.2
West Chub Lake,22-Aug-22,3.9,2,17,871,14,0,37.4,746.6,3.1,3.1,19.2
Baird Lake,23-Aug-22,4.9,1.9,19,1362,117,4,26.8,535.1,8.8,8.8,16.8
Cloquet Lake,23-Aug-22,4.4,2.6,20,777,12,0,17.9,357.8,4.7,3,18.1
Eighteen Lake,23-Aug-22,2.1,0.8,11,525,9,0,23.9,476.8,2.4,2.4,5.9
Gander Lake,23-Aug-22,4.9,1.8,10,504,10,0,24.7,494,3.5,3.4,7.3
Highlife Lake,23-Aug-22,2,1,10,455,10,0,4.8,95.5,1.8,1.4,8.2
Two Deer Lake,23-Aug-22,2.5,1.3,13,467,13,0,39.9,797.8,2.4,2.4,6
Unnamed Lake,23-Aug-22,0.9,0.9,22,1269,24,25,11.7,234.4,2.6,2.1,43.4
Wadop Lake,23-Aug-22,2.2,0.9,9,421,10,18,42.6,851.4,2,1.7,8.3
Dunnigan Lake,24-Aug-22,2,1.1,9,503,11,0,3.9,77.4,2.1,0.4,6.8
Lake Gegoka,24-Aug-22,14,2.9,32,984,15,0,21.5,428.9,4.3,4,29.8
Middle McDougal,24-Aug-22,2.7,1.3,17,793,12,0,18.2,363.9,3.8,2.7,16.7
North McDougal,24-Aug-22,5.5,3.2,26,1028,20,6,20.5,408.8,5.3,4.7,31.1
South McDougal,24-Aug-22,5.8,4.5,40,1273,31,0,17.3,346,6.1,3.9,37.6
Fishtrap Lake,25-Aug-22,19.6,7.9,30,1078,28,0,8.8,175,4.6,4.4,18.5
Lil Chub Lake,25-Aug-22,7,4.3,17,849,18,0,16.5,329.5,5.5,5.2,26.4
Stony Lake,25-Aug-22,1.3,1.5,37,1061,36,0,16,320.4,3.6,3.3,35
Eighteen Lake,19-Sep-22,2.7,1.5,10,521,24,5,23.9,477.2,2.3,2.5,5.6
Flathorn Lake,19-Sep-22,9.2,3.2,18,644,18,100,42.9,856.6,2.4,2.7,14.6
Grouse Lake,19-Sep-22,16.4,4.7,23,774,11,0,34.1,681.4,2.8,2.3,21.3
Kitigan Lake,19-Sep-22,2.2,1.5,11,324,18,5,49.6,990.6,1.1,1.3,6.8
Mitawan Lake,19-Sep-22,6.5,3.3,16,390,16,3,50.3,1004.2,2.1,2.1,6.7
Rat Lake,19-Sep-22,25.1,5.4,23,585,14,5,44.5,888.3,3.6,3.4,13.6
Sand Lake,19-Sep-22,4.6,2.3,25,779,31,16,20.8,416.3,3.1,2.1,22.1
Teamster Lake,19-Sep-22,1.4,1,11,562,14,0,44.1,880.6,0.5,0.9,10.9
Dunnigan Lake,20-Sep-22,6.1,2,10,612,19,3,3.8,76,1.8,2,9.3
Greenwood Lake,20-Sep-22,1.6,1.4,33,1082,53,45,9.7,194.8,6.9,3.5,33.9
Lake Gegoka,20-Sep-22,14.1,5.6,35,1215,70,6,24.1,481.4,3.3,3.3,34.2
Middle McDougal,20-Sep-22,2.7,2.2,22,850,20,2,21.6,430.8,3,2.7,20.4
North McDougal,20-Sep-22,1.4,1.6,34,1179,74,52,22.1,441.9,4.3,2.2,38.8
Slate Lake,20-Sep-22,2.3,1.4,29,919,48,43,29.7,593.6,3.7,2.5,25.3
South McDougal,20-Sep-22,2.1,2.8,45,1282,60,53,18.1,361.9,6.7,3.9,38.9
August Lake,22-Sep-22,2.7,1.8,16,530,31,10,14.8,296.4,1.9,2,12.9
Cloquet Lake,22-Sep-22,2.1,1.7,15,671,16,8,19.7,394.5,1.9,1.8,15.9
Two Deer Lake,22-Sep-22,2.8,1.7,10,413,24,5,43.7,873,1.7,1.5,6.3
Wadop Lake,22-Sep-22,1.2,0.9,8,378,20,45,35.6,711.4,1,1,5.9
Wampus Lake,22-Sep-22,1.5,1,12,,2180,16,78,1559.1,2.8,2.9,7.6
West Chub Lake,22-Sep-22,3.9,2.4,12,794,28,0,43.3,865.5,1.8,1.6,19.3
Baird Lake,26-Sep-22,8.3,4.1,23,1766,600,26,26.7,533.4,8.6,10.6,14.1
Gypsy Lake,26-Sep-22,4.7,7.9,17,460,15,2,3,59.8,3.3,3.3,12.6
Highlife Lake,26-Sep-22,5.4,2.6,10,418,18,2,2.1,42.2,2.3,2.5,8.4
Fishtrap Lake,28-Sep-22,22.7,10.6,30,1144,44,13,6,120.1,8.7,7.2,18.7
Gander Lake,28-Sep-22,6.4,2.7,9,471,14,4,24.4,488.5,3.4,3.8,7.6
Lil Chub Lake,28-Sep-22,9.9,3.6,12,817,21,3,17.5,350.2,4.3,3.9,26.7
Unnamed Lake,28-Sep-22,0.5,0.7,24,1117,29,63,19.3,386.1,1.6,2.2,37.6
