"lagoslakeid","Unburned","Low","Moderate","High"
"113774",18.7,71.1,9.9,0.3
"133329",28.2,71.8,0,0
"14101",0,53,45.8,1.2
"15139",38.6,60.7,0.7,0
"223",15,67.3,16.5,1.2
"27717",10.1,61.5,26.3,2.1
"29814",24.8,75.2,0,0
"38199",13.4,62.4,21.5,2.7
"414",13.6,77.4,8.9,0.1
"430",49.5,48.5,1.7,0.3
"50749",11.4,72.4,15.6,0.6
"51824",4.09999999999999,75.4,20.1,0.4
"66287",97.3,2.7,0,0
"66295",8.20000000000001,48.2,38.7,4.9
"73430",12.8,81.1,6.1,0
