OID_,LAGOSLAKEI,VALUE_3,VALUE_4,VALUE_5,VALUE_6,VALUE_7
1,223,84400.000000000000000,38000.000000000000000,22800.000000000000000,52400.000000000000000,140800.000000000000000
2,14101,0.000000000000000,400.000000000000000,6000.000000000000000,25600.000000000000000,85600.000000000000000
3,15139,34400.000000000000000,37200.000000000000000,6000.000000000000000,4400.000000000000000,1600.000000000000000
4,27717,41200.000000000000000,47600.000000000000000,65200.000000000000000,142800.000000000000000,152000.000000000000000
5,38199,42000.000000000000000,82800.000000000000000,113600.000000000000000,131200.000000000000000,103600.000000000000000
6,50749,24400.000000000000000,156800.000000000000000,295200.000000000000000,512000.000000000000000,406000.000000000000000
7,51824,15600.000000000000000,24800.000000000000000,26000.000000000000000,35200.000000000000000,62800.000000000000000
8,66295,20800.000000000000000,61200.000000000000000,77200.000000000000000,179600.000000000000000,269200.000000000000000
9,73430,61600.000000000000000,113600.000000000000000,94000.000000000000000,82000.000000000000000,76400.000000000000000
