"","ws_vbs_total_burn_pct","ws_vbs_High_pct","ws_sbs_High_pct","buff100m_vbs_total_burn_pct","buff100m_vbs_High_pct","buff100m_sbs_High_pct"
"maylogDOC",-0.08,0.15,0.33,0.09,0.13,0.21
"junlogDOC",-0.23,-0.01,0.27,-0.05,-0.03,0.15
"jullogDOC",-0.11,0.13,0.25,0.1,0.13,0.16
"auglogDOC",-0.29,-0.01,0.23,0,0.05,0.18
"seplogDOC",-0.32,0.02,0.35,-0.1,0.01,0.21
"meanlogDOC",-0.22,0,0.28,0,0.01,0.19
