"","ws_vbs_total_burn_pct","ws_vbs_High_pct","ws_sbs_High_pct","buff100m_vbs_total_burn_pct","buff100m_vbs_High_pct","buff100m_sbs_High_pct"
"maylogTSS",0.08,0.27,0.25,0.03,0.33,0.13
"junlogTSS",-0.1,0.13,0.3,0.18,0.23,0.24
"jullogTSS",0.31,0.42,0.38,0.44,0.54,0.32
"auglogTSS",0.28,0.42,0.52,0.39,0.5,0.39
"seplogTSS",0.29,0.37,0.3,0.41,0.53,0.24
"meanlogTSS",0.24,0.35,0.41,0.38,0.49,0.3
