"var","zmax_r_BD","zmax_p_BD","zmax_r_CD","zmax_p_CD","zmax_r_BI","zmax_p_BI","zmax_r_CI","zmax_p_CI","zmax_r_allburned","zmax_p_allburned","zmax_r_allcontrol","zmax_p_allcontrol"
"logTP",-0.406232805669975,0.00840278418624618,-0.0353916019384742,0.807228413035564,0.482317654016516,0.0125830373962579,0.207865407774203,0.318733777512266,0.0922178046814376,0.457957865711095,0.0512460721043692,0.662374633753374
"logTN",-0.00257034064813566,0.987274884824975,-0.216899655385621,0.130280644462062,0.0761764146317953,0.717420123405126,-0.607796697594053,0.00126949348677607,0.0986261808659273,0.430780123810798,-0.260536736632079,0.0239731461215711
"logDOC",0.149996493104875,0.349245137670535,-0.192384645864849,0.180733559187958,0.204526002004053,0.316228591409069,-0.292165731043208,0.156429908107488,0.275843746778709,0.0238574186743243,-0.226734687951151,0.0504466535133403
"logSecchi",0.0643713761368448,0.68926970671134,0.396235945308373,0.00482606211899195,0.0984698798199786,0.632243189841778,0.328278004645546,0.12618704809825,-0.0193093299492211,0.876747457808037,0.442401907071613,0.0000998276394654773
"logTSS",-0.51076926810214,0.000644302622683224,-0.147960789181361,0.305157471501207,0.176530929903887,0.388319382881281,-0.596421498051273,0.00165107620892613,-0.149902121756355,0.225985092616204,-0.260177336975738,0.0241752155771424
"logChloro",-0.585021638278142,0.0000589062892712988,0.0111538545262646,0.939368407486837,0.247882482926063,0.232197792321446,-0.395180885069375,0.0505632485354561,-0.241540074913494,0.0507221020094009,-0.136892896059819,0.244815789791374
"pH",-0.0934743724588984,0.566173616481643,0.0309687351348419,0.830941293379282,0.13891788083527,0.498532226177287,-0.352705775187859,0.0837522518327751,-0.02122213609515,0.865691015017529,-0.198487318840898,0.0878017085373464
"logWaterTemp",-0.356984644029692,0.0237432772477604,-0.0713161123800456,0.622610622857958,-0.0805968564405682,0.695508246600737,0.0330794043111487,0.87526702961079,-0.225421087589575,0.0687833777541635,-0.013788071805149,0.906536599281967
