"","ws_vbs_total_burn_pct","ws_vbs_High_pct","ws_sbs_High_pct","buff100m_vbs_total_burn_pct","buff100m_vbs_High_pct","buff100m_sbs_High_pct"
"maypH",0.35,0.12,-0.07,0.23,0.14,-0.25
"junpH",0.24,0.06,-0.29,0.11,0.1,-0.12
"julpH",0.13,-0.1,-0.1,-0.11,-0.18,-0.04
"augpH",0.01,-0.13,-0.2,-0.31,-0.3,-0.19
"seppH",0.16,0.16,0.32,0.05,0.09,0.4
"meanpH",0.29,0.18,-0.07,0.03,0.1,-0.09
