"","ws_vbs_total_burn_pct","ws_vbs_High_pct","ws_sbs_High_pct","buff100m_vbs_total_burn_pct","buff100m_vbs_High_pct","buff100m_sbs_High_pct"
"maylogChloro",0.22,0.48,0.4,0.13,0.48,0.25
"junlogChloro",0.06,0.42,0.29,0.19,0.44,0.36
"jullogChloro",-0.03,0.09,0.15,0,0.24,0.06
"auglogChloro",0.02,0.08,0.09,-0.01,0.2,0.01
"seplogChloro",-0.03,0,-0.19,-0.08,0.12,-0.11
"meanlogChloro",0.15,0.37,0.17,0.14,0.46,0.1
