"","ws_vbs_total_burn_pct","ws_vbs_High_pct","ws_sbs_High_pct","buff100m_vbs_total_burn_pct","buff100m_vbs_High_pct","buff100m_sbs_High_pct"
"maylogSecchi",-0.2,-0.07,-0.12,-0.44,-0.17,-0.12
"junlogSecchi",0.14,0.04,-0.12,-0.13,-0.04,-0.11
"jullogSecchi",-0.01,-0.04,-0.09,-0.34,-0.21,-0.12
"auglogSecchi",0.14,-0.08,-0.26,-0.17,-0.22,-0.19
"seplogSecchi",0.17,-0.05,-0.26,-0.04,-0.09,-0.16
"meanlogSecchi",0.16,0.11,-0.16,-0.14,0,-0.16
