"","ws_vbs_total_burn_pct","ws_vbs_High_pct","ws_sbs_High_pct","buff100m_vbs_total_burn_pct","buff100m_vbs_High_pct","buff100m_sbs_High_pct"
"maylogWaterTemp_C",0.33,0.3,0.44,0.24,0.32,0.28
"junlogWaterTemp_C",0.16,0.2,-0.07,0.12,0.22,0.18
"jullogWaterTemp_C",-0.52,-0.53,-0.3,-0.63,-0.48,-0.32
"auglogWaterTemp_C",-0.14,-0.3,-0.18,-0.43,-0.38,-0.24
"seplogWaterTemp_C",0.09,0.19,0.36,-0.2,-0.05,0.28
"meanlogWaterTemp_C",-0.05,-0.06,0.13,-0.24,-0.1,0.11
