"","ws_vbs_total_burn_pct","ws_vbs_High_pct","ws_sbs_High_pct","buff100m_vbs_total_burn_pct","buff100m_vbs_High_pct","buff100m_sbs_High_pct"
"ws_vbs_total_burn_pct",1,0.83234794043818,0.583089231713717,0.858153075586743,0.751956061745513,0.335941428934047
"ws_vbs_High_pct",0.83234794043818,1,0.662934353866154,0.776883663596302,0.924273770144253,0.416333724972724
"ws_sbs_High_pct",0.583089231713717,0.662934353866154,1,0.617161219736033,0.601965571131129,0.787164141255516
"buff100m_vbs_total_burn_pct",0.858153075586743,0.776883663596302,0.617161219736033,1,0.86179835350322,0.527444002670334
"buff100m_vbs_High_pct",0.751956061745513,0.924273770144253,0.601965571131129,0.86179835350322,1,0.501745316216429
"buff100m_sbs_High_pct",0.335941428934047,0.416333724972724,0.787164141255516,0.527444002670334,0.501745316216429,1
