"","ws_vbs_total_burn_pct","ws_vbs_High_pct","ws_sbs_High_pct","buff100m_vbs_total_burn_pct","buff100m_vbs_High_pct","buff100m_sbs_High_pct"
"maylogTP",0.42,0.65,0.74,0.48,0.67,0.66
"junlogTP",0.22,0.41,0.36,0.49,0.55,0.38
"jullogTP",0.05,0.39,0.5,0.32,0.46,0.46
"auglogTP",0.06,0.26,0.29,0.34,0.45,0.3
"seplogTP",0.1,0.34,0.46,0.28,0.4,0.35
"meanlogTP",0.29,0.53,0.54,0.5,0.62,0.46
