,Date,AirTemp_F,FeelsLike,DewPoint,WindSpeed_mph,WindGust_mph,WindDirection,HourlyRain_inhr,DailyRain_in,Rain24hr_in,RelativePressure_inHg,OutdoorHumidity_pct,AbsolutePressure_inHg
Low Datetime,5/29/2022,2022-05-29T04:46:00-05:00,2022-05-29T04:46:00-05:00,2022-05-29T17:01:00-05:00,2022-05-29T03:01:00-05:00,2022-05-29T03:01:00-05:00,,2022-05-29T01:01:00-05:00,2022-05-29T01:01:00-05:00,2022-05-29T10:31:00-05:00,2022-05-29T17:01:00-05:00,2022-05-29T17:01:00-05:00,2022-05-29T17:01:00-05:00
Average,5/30/2022,65.6,65.7,62.1,1.9,9.3,N,0.03,0.31,0.32,29.53,88,27.87
High,5/30/2022,74.8,75.4,66.8,8.5,23.9,,0.79,0.67,0.67,29.91,100,28.16
High Datetime,5/30/2022,2022-05-30T17:31:00-05:00,2022-05-30T17:31:00-05:00,2022-05-30T16:46:00-05:00,2022-05-31T23:31:00-05:00,2022-05-30T07:46:00-05:00,,2022-05-30T22:16:00-05:00,2022-05-30T23:01:00-05:00,2022-05-30T22:46:00-05:00,2022-05-31T23:31:00-05:00,2022-05-30T07:01:00-05:00,2022-05-31T23:31:00-05:00
Low,5/30/2022,45.5,41.1,41.6,0,1.3,,0,0,0,29.41,72,27.78
Low Datetime,5/30/2022,2022-05-31T23:31:00-05:00,2022-05-31T23:31:00-05:00,2022-05-31T23:31:00-05:00,2022-05-30T01:16:00-05:00,2022-05-30T03:46:00-05:00,,2022-05-30T01:01:00-05:00,2022-05-30T01:01:00-05:00,2022-05-30T01:01:00-05:00,2022-05-30T18:01:00-05:00,2022-05-30T17:46:00-05:00,2022-05-30T18:01:00-05:00
Average,5/31/2022,56.3,55.8,51.1,7,20.1,N,0,0.06,0.43,29.56,83,27.87
High,5/31/2022,61.2,61.2,58.3,13.4,34.9,,0.13,0.11,0.69,29.9,97,28.15
High Datetime,5/31/2022,2022-05-31T09:31:00-05:00,2022-05-31T09:31:00-05:00,2022-05-31T04:01:00-05:00,2022-05-31T16:31:00-05:00,2022-05-31T14:46:00-05:00,,2022-05-31T10:31:00-05:00,2022-05-31T21:46:00-05:00,2022-05-31T02:31:00-05:00,2022-05-31T23:01:00-05:00,2022-05-31T01:01:00-05:00,2022-05-31T23:01:00-05:00
Low,5/31/2022,45.5,40.8,41.6,0.7,5.8,,0,0,0.11,29.39,64,27.71
Low Datetime,5/31/2022,2022-05-31T23:01:00-05:00,2022-05-31T23:01:00-05:00,2022-05-31T23:16:00-05:00,2022-05-31T01:46:00-05:00,2022-05-31T01:01:00-05:00,,2022-05-31T01:01:00-05:00,2022-05-31T01:01:00-05:00,2022-05-31T23:01:00-05:00,2022-05-31T04:01:00-05:00,2022-05-31T16:16:00-05:00,2022-05-31T06:01:00-05:00
Average,6/1/2022,54.4,53.4,36.5,5.2,12.5,WNW,0,0,0.04,29.96,55,28.23
High,6/1/2022,67.1,67.1,41.9,9.2,27.1,,0,0,0.11,30.04,93,28.3
High Datetime,6/1/2022,2022-06-01T15:16:00-05:00,2022-06-01T15:16:00-05:00,2022-06-01T08:01:00-05:00,2022-06-01T01:01:00-05:00,2022-06-01T01:01:00-05:00,,2022-06-01T01:01:00-05:00,2022-06-01T01:01:00-05:00,2022-06-01T01:01:00-05:00,2022-06-01T07:16:00-05:00,2022-06-01T06:16:00-05:00,2022-06-01T08:46:00-05:00
Low,6/1/2022,41.5,38.5,25.5,0,0,,0,0,0,29.88,0,28.17
Low Datetime,6/1/2022,2022-06-01T05:31:00-05:00,2022-06-01T05:46:00-05:00,2022-06-01T14:31:00-05:00,2022-06-01T20:31:00-05:00,2022-06-01T20:31:00-05:00,,2022-06-01T01:01:00-05:00,2022-06-01T01:01:00-05:00,2022-06-01T21:46:00-05:00,2022-06-01T16:46:00-05:00,2022-06-01T13:46:00-05:00,2022-06-01T23:46:00-05:00
Average,6/2/2022,54.7,54.7,36.2,5.2,12.7,WNW,0,0,0,29.81,53,28.1
High,6/2/2022,66.7,66.7,42.7,11.9,28.6,,0,0,0,29.92,89,28.17
High Datetime,6/2/2022,2022-06-02T11:46:00-05:00,2022-06-02T11:46:00-05:00,2022-06-02T07:31:00-05:00,2022-06-02T12:01:00-05:00,2022-06-02T11:46:00-05:00,,2022-06-02T01:01:00-05:00,2022-06-02T01:01:00-05:00,2022-06-02T01:01:00-05:00,2022-06-02T01:16:00-05:00,2022-06-02T06:16:00-05:00,2022-06-02T01:01:00-05:00
Low,6/2/2022,42.1,42.1,28,0,0,,0,0,0,29.71,24,28.04
Low Datetime,6/2/2022,2022-06-02T06:16:00-05:00,2022-06-02T06:16:00-05:00,2022-06-02T11:31:00-05:00,2022-06-02T01:01:00-05:00,2022-06-02T01:31:00-05:00,,2022-06-02T01:01:00-05:00,2022-06-02T01:01:00-05:00,2022-06-02T01:01:00-05:00,2022-06-02T11:46:00-05:00,2022-06-02T11:31:00-05:00,2022-06-02T11:46:00-05:00
Average,6/3/2022,49,47.8,33.6,5.4,13.2,WNW,0,0.01,0.01,29.92,59,28.18
High,6/3/2022,61.3,61.3,38.9,11.2,26.4,,0.03,0.01,0.01,29.98,94,28.22
High Datetime,6/3/2022,2022-06-03T17:16:00-05:00,2022-06-03T17:16:00-05:00,2022-06-03T05:01:00-05:00,2022-06-03T15:01:00-05:00,2022-06-03T15:01:00-05:00,,2022-06-03T04:31:00-05:00,2022-06-03T04:46:00-05:00,2022-06-03T04:31:00-05:00,2022-06-03T23:46:00-05:00,2022-06-03T05:01:00-05:00,2022-06-03T11:16:00-05:00
Low,6/3/2022,38.1,35.5,25.4,0,0,,0,0,0,29.84,26,28.1
Low Datetime,6/3/2022,2022-06-03T23:46:00-05:00,2022-06-03T06:31:00-05:00,2022-06-03T18:16:00-05:00,2022-06-03T21:01:00-05:00,2022-06-03T21:01:00-05:00,,2022-06-03T01:01:00-05:00,2022-06-03T01:01:00-05:00,2022-06-03T01:01:00-05:00,2022-06-03T01:01:00-05:00,2022-06-03T18:16:00-05:00,2022-06-03T01:01:00-05:00
Average,6/4/2022,57.2,56.5,34.2,3.3,8.9,WNW,0,0,0,29.88,48,28.17
High,6/4/2022,72,70,40.4,8.7,22.8,,0,0,0.01,29.98,90,28.22
High Datetime,6/4/2022,2022-06-04T15:01:00-05:00,2022-06-04T15:01:00-05:00,2022-06-04T10:01:00-05:00,2022-06-04T14:31:00-05:00,2022-06-04T13:16:00-05:00,,2022-06-04T01:01:00-05:00,2022-06-04T01:01:00-05:00,2022-06-04T01:01:00-05:00,2022-06-04T02:01:00-05:00,2022-06-04T03:46:00-05:00,2022-06-04T02:01:00-05:00
Low,6/4/2022,38.3,38.3,28.8,0,0,,0,0,0,29.8,21,28.14
Low Datetime,6/4/2022,2022-06-04T03:46:00-05:00,2022-06-04T03:46:00-05:00,2022-06-04T18:31:00-05:00,2022-06-04T01:01:00-05:00,2022-06-04T01:01:00-05:00,,2022-06-04T01:01:00-05:00,2022-06-04T01:01:00-05:00,2022-06-04T04:46:00-05:00,2022-06-04T14:46:00-05:00,2022-06-04T16:46:00-05:00,2022-06-04T14:46:00-05:00
Average,6/5/2022,56,55.5,35.6,1.2,5.1,N,0,0,0,29.87,54,28.16
High,6/5/2022,72.5,70.6,43.3,4.7,13.2,,0,0,0,29.97,98,28.19
High Datetime,6/5/2022,2022-06-05T14:16:00-05:00,2022-06-05T14:16:00-05:00,2022-06-05T08:01:00-05:00,2022-06-05T12:31:00-05:00,2022-06-05T13:31:00-05:00,,2022-06-05T01:01:00-05:00,2022-06-05T01:01:00-05:00,2022-06-05T01:01:00-05:00,2022-06-05T06:31:00-05:00,2022-06-05T06:31:00-05:00,2022-06-05T07:31:00-05:00
Low,6/5/2022,33.6,33.6,31.2,0,0,,0,0,0,29.79,23,28.12
Low Datetime,6/5/2022,2022-06-05T05:31:00-05:00,2022-06-05T05:31:00-05:00,2022-06-05T13:46:00-05:00,2022-06-05T01:01:00-05:00,2022-06-05T01:01:00-05:00,,2022-06-05T01:01:00-05:00,2022-06-05T01:01:00-05:00,2022-06-05T01:01:00-05:00,2022-06-05T14:46:00-05:00,2022-06-05T13:46:00-05:00,2022-06-05T16:16:00-05:00
Average,6/6/2022,56.5,56.5,41.8,1.5,7.1,N,0,0,0,29.87,60,28.16
High,6/6/2022,66.9,66.9,45.5,4,15,,0,0,0,29.96,92,28.2
High Datetime,6/6/2022,2022-06-06T15:31:00-05:00,2022-06-06T15:31:00-05:00,2022-06-06T09:46:00-05:00,2022-06-06T16:46:00-05:00,2022-06-06T11:01:00-05:00,,2022-06-06T01:01:00-05:00,2022-06-06T01:01:00-05:00,2022-06-06T01:01:00-05:00,2022-06-06T23:46:00-05:00,2022-06-06T23:46:00-05:00,2022-06-06T22:46:00-05:00
Low,6/6/2022,43.3,43.3,34.7,0,0,,0,0,0,29.82,32,28.12
Low Datetime,6/6/2022,2022-06-06T23:46:00-05:00,2022-06-06T23:46:00-05:00,2022-06-06T18:01:00-05:00,2022-06-06T05:16:00-05:00,2022-06-06T21:31:00-05:00,,2022-06-06T01:01:00-05:00,2022-06-06T01:01:00-05:00,2022-06-06T01:01:00-05:00,2022-06-06T15:31:00-05:00,2022-06-06T18:01:00-05:00,2022-06-06T05:46:00-05:00
Average,6/7/2022,57.4,56.9,41.6,1.2,4.1,NW,0,0,0,29.92,61,28.21
High,6/7/2022,72.9,71.3,48.5,3.8,11.9,,0,0,0,30.01,100,28.25
High Datetime,6/7/2022,2022-06-07T14:01:00-05:00,2022-06-07T14:01:00-05:00,2022-06-07T23:16:00-05:00,2022-06-07T15:46:00-05:00,2022-06-07T15:01:00-05:00,,2022-06-07T01:01:00-05:00,2022-06-07T01:01:00-05:00,2022-06-07T01:01:00-05:00,2022-06-07T06:01:00-05:00,2022-06-07T06:46:00-05:00,2022-06-07T07:31:00-05:00
Low,6/7/2022,36.1,36.1,35.6,0,0,,0,0,0,29.85,29,28.19
Low Datetime,6/7/2022,2022-06-07T05:16:00-05:00,2022-06-07T05:16:00-05:00,2022-06-07T05:16:00-05:00,2022-06-07T01:01:00-05:00,2022-06-07T01:01:00-05:00,,2022-06-07T01:01:00-05:00,2022-06-07T01:01:00-05:00,2022-06-07T01:01:00-05:00,2022-06-07T16:31:00-05:00,2022-06-07T16:31:00-05:00,2022-06-07T01:01:00-05:00
Average,6/8/2022,60.1,59.5,41.3,2.2,6.5,NW,0,0,0,29.88,57,28.18
High,6/8/2022,75.4,73.8,48.7,5.8,17.4,,0,0,0,29.96,97,28.21
High Datetime,6/8/2022,2022-06-08T15:31:00-05:00,2022-06-08T15:31:00-05:00,2022-06-08T07:46:00-05:00,2022-06-08T15:46:00-05:00,2022-06-08T12:01:00-05:00,,2022-06-08T01:01:00-05:00,2022-06-08T01:01:00-05:00,2022-06-08T01:01:00-05:00,2022-06-08T03:16:00-05:00,2022-06-08T06:16:00-05:00,2022-06-08T03:46:00-05:00
Low,6/8/2022,43.5,43.5,31,0,0,,0,0,0,29.78,20,28.13
Low Datetime,6/8/2022,2022-06-08T05:46:00-05:00,2022-06-08T05:46:00-05:00,2022-06-08T14:31:00-05:00,2022-06-08T01:01:00-05:00,2022-06-08T01:01:00-05:00,,2022-06-08T01:01:00-05:00,2022-06-08T01:01:00-05:00,2022-06-08T01:01:00-05:00,2022-06-08T15:31:00-05:00,2022-06-08T14:31:00-05:00,2022-06-08T15:31:00-05:00
Average,6/9/2022,57.8,57.2,40.5,2.3,6.9,NW,0,0,0,29.94,59,28.22
High,6/9/2022,72.1,70.4,46.9,6.7,19,,0,0,0,30.01,100,28.25
High Datetime,6/9/2022,2022-06-09T15:46:00-05:00,2022-06-09T15:46:00-05:00,2022-06-09T08:16:00-05:00,2022-06-09T12:16:00-05:00,2022-06-09T10:46:00-05:00,,2022-06-09T01:01:00-05:00,2022-06-09T01:01:00-05:00,2022-06-09T01:01:00-05:00,2022-06-09T05:46:00-05:00,2022-06-09T06:31:00-05:00,2022-06-09T07:01:00-05:00
Low,6/9/2022,38.5,38.5,36.8,0,0,,0,0,0,29.87,29,28.2
Low Datetime,6/9/2022,2022-06-09T05:16:00-05:00,2022-06-09T05:16:00-05:00,2022-06-09T18:16:00-05:00,2022-06-09T01:01:00-05:00,2022-06-09T01:01:00-05:00,,2022-06-09T01:01:00-05:00,2022-06-09T01:01:00-05:00,2022-06-09T01:01:00-05:00,2022-06-09T15:46:00-05:00,2022-06-09T15:16:00-05:00,2022-06-09T01:01:00-05:00
Average,6/10/2022,59.9,59.2,41.8,1.9,5.6,WNW,0,0,0,29.86,58,28.15
High,6/10/2022,75.9,74.5,48.6,6.7,15.7,,0,0,0,29.98,99,28.21
High Datetime,6/10/2022,2022-06-10T16:16:00-05:00,2022-06-10T16:16:00-05:00,2022-06-10T08:01:00-05:00,2022-06-10T18:46:00-05:00,2022-06-10T11:46:00-05:00,,2022-06-10T01:01:00-05:00,2022-06-10T01:01:00-05:00,2022-06-10T01:01:00-05:00,2022-06-10T01:31:00-05:00,2022-06-10T06:16:00-05:00,2022-06-10T01:01:00-05:00
Low,6/10/2022,37.8,37.8,37.3,0,0,,0,0,0,29.74,27,28.09
Low Datetime,6/10/2022,2022-06-10T05:31:00-05:00,2022-06-10T05:31:00-05:00,2022-06-10T05:31:00-05:00,2022-06-10T01:01:00-05:00,2022-06-10T01:01:00-05:00,,2022-06-10T01:01:00-05:00,2022-06-10T01:01:00-05:00,2022-06-10T01:01:00-05:00,2022-06-10T18:31:00-05:00,2022-06-10T16:16:00-05:00,2022-06-10T18:31:00-05:00
Average,6/11/2022,58.9,58.6,49.9,0.6,3.1,WNW,0,0.03,0.03,29.77,75,28.07
High,6/11/2022,73.2,72.2,55.7,3.1,11,,0.06,0.04,0.04,29.88,98,28.14
High Datetime,6/11/2022,2022-06-11T14:46:00-05:00,2022-06-11T14:46:00-05:00,2022-06-11T10:46:00-05:00,2022-06-11T16:46:00-05:00,2022-06-11T16:31:00-05:00,,2022-06-11T09:16:00-05:00,2022-06-11T10:01:00-05:00,2022-06-11T09:46:00-05:00,2022-06-11T23:01:00-05:00,2022-06-11T06:31:00-05:00,2022-06-11T22:46:00-05:00
Low,6/11/2022,47.7,47.7,42.2,0,0,,0,0,0,29.68,43,28.03
Low Datetime,6/11/2022,2022-06-11T23:46:00-05:00,2022-06-11T23:46:00-05:00,2022-06-11T23:46:00-05:00,2022-06-11T01:01:00-05:00,2022-06-11T01:01:00-05:00,,2022-06-11T01:01:00-05:00,2022-06-11T01:01:00-05:00,2022-06-11T01:01:00-05:00,2022-06-11T14:46:00-05:00,2022-06-11T14:46:00-05:00,2022-06-11T14:16:00-05:00
Average,6/12/2022,58.2,57.8,43,1.6,7.5,E,0,0,0.01,29.87,60,28.16
High,6/12/2022,73.2,72.1,46.7,3.8,16.3,,0,0,0.04,29.93,96,28.19
High Datetime,6/12/2022,2022-06-12T15:31:00-05:00,2022-06-12T15:31:00-05:00,2022-06-12T15:31:00-05:00,2022-06-12T22:31:00-05:00,2022-06-12T15:16:00-05:00,,2022-06-12T01:01:00-05:00,2022-06-12T01:01:00-05:00,2022-06-12T01:01:00-05:00,2022-06-12T05:31:00-05:00,2022-06-12T04:16:00-05:00,2022-06-12T07:31:00-05:00
Low,6/12/2022,41.4,41.4,19.1,0,0,,0,0,0,29.8,32,28.13
