,Date,AirTemp_F,FeelsLike,DewPoint,WindSpeed_mph,WindGust_mph,WindDirection,HourlyRain_inhr,DailyRain_in,Rain24hr_in,RelativePressure_inHg,OutdoorHumidity_pct,AbsolutePressure_inHg
Average,6/18/2022,56.5,56.5,38.8,1.6,7.8,E,0,0.03,0.03,30.26,53,28.53
High,6/18/2022,66,66,41.6,3.6,13.6,,0.16,0.04,0.04,30.37,91,28.63
High Datetime,6/18/2022,2022-06-18T15:46:00-05:00,2022-06-18T15:46:00-05:00,2022-06-18T17:46:00-05:00,2022-06-18T09:31:00-05:00,2022-06-18T12:01:00-05:00,,2022-06-18T09:01:00-05:00,2022-06-18T09:16:00-05:00,2022-06-18T09:01:00-05:00,2022-06-18T08:16:00-05:00,2022-06-18T01:31:00-05:00,2022-06-18T08:16:00-05:00
Low,6/18/2022,41.7,41.7,35.7,0,0,,0,0,0,30.16,37,28.42
Low Datetime,6/18/2022,2022-06-18T01:46:00-05:00,2022-06-18T01:46:00-05:00,2022-06-18T20:46:00-05:00,2022-06-18T01:01:00-05:00,2022-06-18T01:01:00-05:00,,2022-06-18T01:01:00-05:00,2022-06-18T01:01:00-05:00,2022-06-18T01:01:00-05:00,2022-06-18T21:31:00-05:00,2022-06-18T15:16:00-05:00,2022-06-18T21:31:00-05:00
Average,6/19/2022,70.9,71.8,58,2.5,10.1,WSW,0,0.03,0.04,29.93,64,28.26
High,6/19/2022,88.2,91.8,69.2,4.7,17.4,,0.09,0.06,0.06,30.16,93,28.42
High Datetime,6/19/2022,2022-06-19T17:01:00-05:00,2022-06-19T17:01:00-05:00,2022-06-19T14:31:00-05:00,2022-06-19T18:01:00-05:00,2022-06-19T07:46:00-05:00,,2022-06-19T12:01:00-05:00,2022-06-19T13:31:00-05:00,2022-06-19T13:16:00-05:00,2022-06-19T01:01:00-05:00,2022-06-19T12:46:00-05:00,2022-06-19T01:01:00-05:00
Low,6/19/2022,52.5,52.5,41.6,0,0,,0,0,0,29.77,51,28.15
Low Datetime,6/19/2022,2022-06-19T01:16:00-05:00,2022-06-19T01:16:00-05:00,2022-06-19T01:01:00-05:00,2022-06-19T11:31:00-05:00,2022-06-19T11:31:00-05:00,,2022-06-19T01:01:00-05:00,2022-06-19T01:01:00-05:00,2022-06-19T09:16:00-05:00,2022-06-19T18:01:00-05:00,2022-06-19T16:16:00-05:00,2022-06-19T18:46:00-05:00
Average,6/20/2022,83.7,87.7,69.1,4.1,12.7,WSW,0,0,0.03,29.76,59,28.13
High,6/20/2022,95.5,104.3,72.5,14.3,40.9,,0.31,0.11,0.11,29.86,94,28.19
High Datetime,6/20/2022,2022-06-20T14:01:00-05:00,2022-06-20T14:01:00-05:00,2022-06-20T17:16:00-05:00,2022-06-20T23:16:00-05:00,2022-06-20T23:16:00-05:00,,2022-06-20T23:16:00-05:00,2022-06-20T23:46:00-05:00,2022-06-20T23:31:00-05:00,2022-06-20T23:31:00-05:00,2022-06-20T23:46:00-05:00,2022-06-20T23:31:00-05:00
Low,6/20/2022,69.3,70.3,48.1,0,1.6,,0,0,0,29.67,0,28.07
Low Datetime,6/20/2022,2022-06-20T23:31:00-05:00,2022-06-20T23:31:00-05:00,2022-06-20T21:31:00-05:00,2022-06-20T21:46:00-05:00,2022-06-20T22:01:00-05:00,,2022-06-20T01:01:00-05:00,2022-06-20T01:01:00-05:00,2022-06-20T13:31:00-05:00,2022-06-20T18:01:00-05:00,2022-06-20T21:46:00-05:00,2022-06-20T21:01:00-05:00
Average,6/21/2022,72.3,72.3,58.3,6.6,17.5,N,0.02,0.52,0.64,29.81,60,28.15
High,6/21/2022,81.1,81.7,67.6,11.4,28.6,,0.47,0.55,0.66,29.9,98,28.21
High Datetime,6/21/2022,2022-06-21T14:46:00-05:00,2022-06-21T13:46:00-05:00,2022-06-21T10:01:00-05:00,2022-06-21T16:46:00-05:00,2022-06-21T16:46:00-05:00,,2022-06-21T03:01:00-05:00,2022-06-21T17:31:00-05:00,2022-06-21T17:01:00-05:00,2022-06-21T23:31:00-05:00,2022-06-21T01:01:00-05:00,2022-06-21T23:31:00-05:00
Low,6/21/2022,63.9,63.9,-2.9,0.4,5.8,,0,0.14,0.27,29.76,0,28.08
Low Datetime,6/21/2022,2022-06-21T23:46:00-05:00,2022-06-21T23:46:00-05:00,2022-06-21T06:01:00-05:00,2022-06-21T03:46:00-05:00,2022-06-21T03:46:00-05:00,,2022-06-21T04:01:00-05:00,2022-06-21T01:01:00-05:00,2022-06-21T01:01:00-05:00,2022-06-21T05:01:00-05:00,2022-06-21T06:16:00-05:00,2022-06-21T05:01:00-05:00
Average,6/22/2022,63.3,63,49.1,4.2,11.1,NW,0,0,0.04,30.05,62,28.35
High,6/22/2022,74.1,73.1,53.9,7.8,23,,0,0,0.41,30.11,93,28.4
High Datetime,6/22/2022,2022-06-22T17:01:00-05:00,2022-06-22T17:16:00-05:00,2022-06-22T21:46:00-05:00,2022-06-22T01:16:00-05:00,2022-06-22T01:16:00-05:00,,2022-06-22T01:01:00-05:00,2022-06-22T01:01:00-05:00,2022-06-22T01:01:00-05:00,2022-06-22T07:46:00-05:00,2022-06-22T23:46:00-05:00,2022-06-22T09:46:00-05:00
Low,6/22/2022,54.1,54.1,44.5,0,0,,0,0,0,29.96,36,28.25
Low Datetime,6/22/2022,2022-06-22T23:46:00-05:00,2022-06-22T23:46:00-05:00,2022-06-22T15:46:00-05:00,2022-06-22T20:31:00-05:00,2022-06-22T20:31:00-05:00,,2022-06-22T01:01:00-05:00,2022-06-22T01:01:00-05:00,2022-06-22T17:16:00-05:00,2022-06-22T01:01:00-05:00,2022-06-22T15:46:00-05:00,2022-06-22T01:01:00-05:00
Average,6/23/2022,73.1,73.2,58.6,3.6,10.1,WSW,0,0,0,29.85,64,28.19
High,6/23/2022,88.2,87.9,65.1,8.1,23,,0,0,0,30.04,94,28.31
High Datetime,6/23/2022,2022-06-23T16:16:00-05:00,2022-06-23T16:16:00-05:00,2022-06-23T20:46:00-05:00,2022-06-23T16:16:00-05:00,2022-06-23T14:46:00-05:00,,2022-06-23T01:01:00-05:00,2022-06-23T01:01:00-05:00,2022-06-23T01:01:00-05:00,2022-06-23T01:01:00-05:00,2022-06-23T01:01:00-05:00,2022-06-23T01:01:00-05:00
Low,6/23/2022,54.7,54.7,52.9,0,0,,0,0,0,29.71,36,28.1
Low Datetime,6/23/2022,2022-06-23T01:01:00-05:00,2022-06-23T01:01:00-05:00,2022-06-23T01:16:00-05:00,2022-06-23T01:01:00-05:00,2022-06-23T01:01:00-05:00,,2022-06-23T01:01:00-05:00,2022-06-23T01:01:00-05:00,2022-06-23T01:01:00-05:00,2022-06-23T15:16:00-05:00,2022-06-23T15:31:00-05:00,2022-06-23T15:16:00-05:00
Average,6/24/2022,73.2,73.7,61,1.5,6.5,N,0,0,0,29.02,67,28.2
High,6/24/2022,85.1,86.4,66.1,4.5,13.9,,0,0,0,29.89,92,28.22
High Datetime,6/24/2022,2022-06-24T17:01:00-05:00,2022-06-24T17:31:00-05:00,2022-06-24T15:31:00-05:00,2022-06-24T06:46:00-05:00,2022-06-24T06:46:00-05:00,,2022-06-24T01:01:00-05:00,2022-06-24T01:01:00-05:00,2022-06-24T01:01:00-05:00,2022-06-24T06:01:00-05:00,2022-06-24T02:01:00-05:00,2022-06-24T11:31:00-05:00
Low,6/24/2022,61.9,61.9,55.8,0,1.6,,0,0,0,28.18,45,28.16
Low Datetime,6/24/2022,2022-06-24T03:31:00-05:00,2022-06-24T03:31:00-05:00,2022-06-24T22:16:00-05:00,2022-06-24T01:01:00-05:00,2022-06-24T03:16:00-05:00,,2022-06-24T01:01:00-05:00,2022-06-24T01:01:00-05:00,2022-06-24T01:01:00-05:00,2022-06-24T17:01:00-05:00,2022-06-24T17:16:00-05:00,2022-06-24T01:01:00-05:00
Average,6/25/2022,65.9,66,61,3.5,10.6,N,0.02,0.45,0.46,28.16,59,28.16
High,6/25/2022,71.4,71.9,65.1,7.4,20.8,,0.22,0.57,0.57,28.2,98,28.2
High Datetime,6/25/2022,2022-06-25T13:31:00-05:00,2022-06-25T13:31:00-05:00,2022-06-25T15:31:00-05:00,2022-06-25T13:31:00-05:00,2022-06-25T13:01:00-05:00,,2022-06-25T14:16:00-05:00,2022-06-25T22:46:00-05:00,2022-06-25T22:46:00-05:00,2022-06-25T02:16:00-05:00,2022-06-25T04:16:00-05:00,2022-06-25T02:16:00-05:00
Low,6/25/2022,61.3,61.3,31.7,0,1.6,,0,0,0,28.1,0,28.1
Low Datetime,6/25/2022,2022-06-25T03:16:00-05:00,2022-06-25T03:16:00-05:00,2022-06-25T07:31:00-05:00,2022-06-25T04:01:00-05:00,2022-06-25T04:01:00-05:00,,2022-06-25T01:01:00-05:00,2022-06-25T01:01:00-05:00,2022-06-25T01:01:00-05:00,2022-06-25T07:16:00-05:00,2022-06-25T16:31:00-05:00,2022-06-25T07:16:00-05:00
Average,6/26/2022,62.6,62.6,43.9,5.6,17,N,0,0.04,0.16,28.26,25,28.26
High,6/26/2022,67.6,67.6,48.1,9.2,33.6,,0.09,0.07,0.57,28.44,83,28.44
High Datetime,6/26/2022,2022-06-26T02:46:00-05:00,2022-06-26T02:46:00-05:00,2022-06-26T17:31:00-05:00,2022-06-26T10:46:00-05:00,2022-06-26T13:01:00-05:00,,2022-06-26T13:16:00-05:00,2022-06-26T17:01:00-05:00,2022-06-26T01:01:00-05:00,2022-06-26T23:31:00-05:00,2022-06-26T17:01:00-05:00,2022-06-26T23:31:00-05:00
Low,6/26/2022,48.9,48.9,9.8,1.3,5.1,,0,0,0.05,28.15,0,28.15
Low Datetime,6/26/2022,2022-06-26T23:46:00-05:00,2022-06-26T23:46:00-05:00,2022-06-26T15:31:00-05:00,2022-06-26T23:01:00-05:00,2022-06-26T22:16:00-05:00,,2022-06-26T01:01:00-05:00,2022-06-26T01:01:00-05:00,2022-06-26T15:01:00-05:00,2022-06-26T03:16:00-05:00,2022-06-26T01:01:00-05:00,2022-06-26T03:16:00-05:00
Average,6/27/2022,59.4,59.2,49,2.7,7.9,N,0.01,0.05,0.08,28.42,71,28.42
High,6/27/2022,76.5,75.9,62.1,6,18.8,,0.5,0.16,0.16,28.51,99,28.51
High Datetime,6/27/2022,2022-06-27T16:01:00-05:00,2022-06-27T16:01:00-05:00,2022-06-27T17:46:00-05:00,2022-06-27T16:16:00-05:00,2022-06-27T17:01:00-05:00,,2022-06-27T17:01:00-05:00,2022-06-27T18:01:00-05:00,2022-06-27T17:46:00-05:00,2022-06-27T07:16:00-05:00,2022-06-27T06:01:00-05:00,2022-06-27T07:16:00-05:00
Low,6/27/2022,39.2,39.2,35.8,0,0,,0,0,0.02,28.34,43,28.34
Low Datetime,6/27/2022,2022-06-27T05:46:00-05:00,2022-06-27T05:46:00-05:00,2022-06-27T06:16:00-05:00,2022-06-27T01:01:00-05:00,2022-06-27T01:01:00-05:00,,2022-06-27T01:01:00-05:00,2022-06-27T01:01:00-05:00,2022-06-27T14:01:00-05:00,2022-06-27T19:16:00-05:00,2022-06-27T16:31:00-05:00,2022-06-27T19:16:00-05:00
Average,6/28/2022,60,59.9,48,2.4,7.5,N,0,0.01,0.12,28.35,67,28.35
High,6/28/2022,69.3,68,54.4,6.3,17.2,,0.03,0.01,0.17,28.42,96,28.42
High Datetime,6/28/2022,2022-06-28T15:01:00-05:00,2022-06-28T15:46:00-05:00,2022-06-28T07:31:00-05:00,2022-06-28T15:16:00-05:00,2022-06-28T16:31:00-05:00,,2022-06-28T09:46:00-05:00,2022-06-28T10:01:00-05:00,2022-06-28T09:46:00-05:00,2022-06-28T23:31:00-05:00,2022-06-28T06:46:00-05:00,2022-06-28T23:31:00-05:00
Low,6/28/2022,44.4,44.4,38.9,0,0,,0,0,0.01,28.3,37,28.3
Low Datetime,6/28/2022,2022-06-28T23:46:00-05:00,2022-06-28T23:46:00-05:00,2022-06-28T20:01:00-05:00,2022-06-28T06:01:00-05:00,2022-06-28T06:16:00-05:00,,2022-06-28T01:01:00-05:00,2022-06-28T01:01:00-05:00,2022-06-28T18:01:00-05:00,2022-06-28T02:16:00-05:00,2022-06-28T17:01:00-05:00,2022-06-28T02:16:00-05:00
Average,6/29/2022,53.9,53.9,45.8,1.1,5.4,NW,0,0.02,0.03,28.36,77,28.36
High,6/29/2022,67.6,67.6,58.3,3.6,15.4,,0.06,0.06,0.06,28.47,100,28.47
High Datetime,6/29/2022,2022-06-29T12:31:00-05:00,2022-06-29T12:31:00-05:00,2022-06-29T23:46:00-05:00,2022-06-29T19:31:00-05:00,2022-06-29T19:31:00-05:00,,2022-06-29T14:31:00-05:00,2022-06-29T17:16:00-05:00,2022-06-29T17:01:00-05:00,2022-06-29T07:46:00-05:00,2022-06-29T06:31:00-05:00,2022-06-29T07:46:00-05:00
Low,6/29/2022,37.4,37.4,32.6,0,0,,0,0,0,28.07,35,28.07
Low Datetime,6/29/2022,2022-06-29T05:46:00-05:00,2022-06-29T05:46:00-05:00,2022-06-29T08:16:00-05:00,2022-06-29T01:01:00-05:00,2022-06-29T01:01:00-05:00,,2022-06-29T01:01:00-05:00,2022-06-29T01:01:00-05:00,2022-06-29T10:01:00-05:00,2022-06-29T23:46:00-05:00,2022-06-29T09:01:00-05:00,2022-06-29T23:46:00-05:00
Average,6/30/2022,68.5,68.4,55.9,4.7,13.4,WNW,0,0,0.04,28.05,67,28.05
High,6/30/2022,81.5,80.8,62,10.7,29.1,,0.06,0.02,0.06,28.22,94,28.22
High Datetime,6/30/2022,2022-06-30T13:46:00-05:00,2022-06-30T13:46:00-05:00,2022-06-30T11:01:00-05:00,2022-06-30T14:01:00-05:00,2022-06-30T14:01:00-05:00,,2022-06-30T19:01:00-05:00,2022-06-30T18:31:00-05:00,2022-06-30T01:01:00-05:00,2022-06-30T23:01:00-05:00,2022-06-30T03:46:00-05:00,2022-06-30T23:01:00-05:00
Low,6/30/2022,57,57,25.5,0,2.5,,0,0,0,27.98,21,27.98
Low Datetime,6/30/2022,2022-06-30T23:31:00-05:00,2022-06-30T23:31:00-05:00,2022-06-30T08:16:00-05:00,2022-06-30T03:16:00-05:00,2022-06-30T04:46:00-05:00,,2022-06-30T01:01:00-05:00,2022-06-30T01:01:00-05:00,2022-06-30T17:16:00-05:00,2022-06-30T06:16:00-05:00,2022-06-30T08:16:00-05:00,2022-06-30T06:16:00-05:00
Average,7/1/2022,60,59.5,44.7,3.3,9.3,N,0,0,0.02,28.22,61,28.22
High,7/1/2022,72.7,71.4,51.9,9.2,23.5,,0,0,0.02,28.27,100,28.27
High Datetime,7/1/2022,2022-07-01T17:01:00-05:00,2022-07-01T13:16:00-05:00,2022-07-01T12:31:00-05:00,2022-07-01T16:46:00-05:00,2022-07-01T15:31:00-05:00,,2022-07-01T01:01:00-05:00,2022-07-01T01:01:00-05:00,2022-07-01T01:01:00-05:00,2022-07-01T07:01:00-05:00,2022-07-01T06:31:00-05:00,2022-07-01T07:01:00-05:00
Low,7/1/2022,41.4,41.4,20.6,0,0,,0,0,0,28.18,0,28.18
Low Datetime,7/1/2022,2022-07-01T05:31:00-05:00,2022-07-01T05:31:00-05:00,2022-07-01T13:46:00-05:00,2022-07-01T01:01:00-05:00,2022-07-01T01:01:00-05:00,,2022-07-01T01:01:00-05:00,2022-07-01T01:01:00-05:00,2022-07-01T19:16:00-05:00,2022-07-01T12:01:00-05:00,2022-07-01T13:16:00-05:00,2022-07-01T12:01:00-05:00
Average,7/2/2022,57.7,57.3,43,1.9,5.8,WNW,0,0,0,28.33,61,28.33
High,7/2/2022,72.1,70.8,47.4,5.6,15,,0,0,0,28.38,97,28.38
High Datetime,7/2/2022,2022-07-02T15:46:00-05:00,2022-07-02T15:46:00-05:00,2022-07-02T20:46:00-05:00,2022-07-02T15:46:00-05:00,2022-07-02T13:31:00-05:00,,2022-07-02T01:01:00-05:00,2022-07-02T01:01:00-05:00,2022-07-02T01:01:00-05:00,2022-07-02T23:01:00-05:00,2022-07-02T06:01:00-05:00,2022-07-02T23:01:00-05:00
Low,7/2/2022,41.9,41.9,37.4,0,0,,0,0,0,28.27,0,28.27
Low Datetime,7/2/2022,2022-07-02T05:46:00-05:00,2022-07-02T05:46:00-05:00,2022-07-02T21:01:00-05:00,2022-07-02T01:01:00-05:00,2022-07-02T01:01:00-05:00,,2022-07-02T01:01:00-05:00,2022-07-02T01:01:00-05:00,2022-07-02T01:01:00-05:00,2022-07-02T01:01:00-05:00,2022-07-02T19:46:00-05:00,2022-07-02T01:01:00-05:00
Average,7/3/2022,60.7,60.5,48.7,0.9,3.9,N,0,0,0,28.38,69,28.38
High,7/3/2022,79.2,78.8,58.1,4,14.1,,0,0,0,28.43,99,28.43
High Datetime,7/3/2022,2022-07-03T14:46:00-05:00,2022-07-03T14:46:00-05:00,2022-07-03T19:01:00-05:00,2022-07-03T14:46:00-05:00,2022-07-03T18:46:00-05:00,,2022-07-03T01:01:00-05:00,2022-07-03T01:01:00-05:00,2022-07-03T01:01:00-05:00,2022-07-03T06:46:00-05:00,2022-07-03T05:46:00-05:00,2022-07-03T06:46:00-05:00
Low,7/3/2022,40.6,40.6,25.3,0,0,,0,0,0,28.34,15,28.34
Low Datetime,7/3/2022,2022-07-03T05:16:00-05:00,2022-07-03T05:16:00-05:00,2022-07-03T14:16:00-05:00,2022-07-03T01:01:00-05:00,2022-07-03T01:01:00-05:00,,2022-07-03T01:01:00-05:00,2022-07-03T01:01:00-05:00,2022-07-03T01:01:00-05:00,2022-07-03T17:46:00-05:00,2022-07-03T14:16:00-05:00,2022-07-03T17:46:00-05:00
Average,7/4/2022,61,61,59.6,0.6,4.7,N,0.03,0.36,0.37,28.25,95,28.25
High,7/4/2022,65.1,65.1,63.3,2.2,11.9,,0.38,0.83,0.83,28.34,100,28.34
High Datetime,7/4/2022,2022-07-04T16:01:00-05:00,2022-07-04T16:01:00-05:00,2022-07-04T16:01:00-05:00,2022-07-04T13:31:00-05:00,2022-07-04T13:31:00-05:00,,2022-07-04T12:46:00-05:00,2022-07-04T22:46:00-05:00,2022-07-04T22:31:00-05:00,2022-07-04T01:01:00-05:00,2022-07-04T08:01:00-05:00,2022-07-04T01:01:00-05:00
Low,7/4/2022,54.1,54.1,52,0,0,,0,0,0,28.2,86,28.2
Low Datetime,7/4/2022,2022-07-04T01:01:00-05:00,2022-07-04T01:01:00-05:00,2022-07-04T01:31:00-05:00,2022-07-04T01:01:00-05:00,2022-07-04T01:01:00-05:00,,2022-07-04T01:01:00-05:00,2022-07-04T01:01:00-05:00,2022-07-04T01:01:00-05:00,2022-07-04T15:46:00-05:00,2022-07-04T03:01:00-05:00,2022-07-04T15:46:00-05:00
Average,7/5/2022,62.9,62.9,61.2,0.7,3.8,N,0,0,0.47,28.26,94,28.26
High,7/5/2022,68.9,69.6,66.3,2.5,11,,0,0,0.83,28.37,100,28.37
High Datetime,7/5/2022,2022-07-05T15:01:00-05:00,2022-07-05T11:16:00-05:00,2022-07-05T11:16:00-05:00,2022-07-05T10:01:00-05:00,2022-07-05T17:01:00-05:00,,2022-07-05T01:01:00-05:00,2022-07-05T01:01:00-05:00,2022-07-05T01:01:00-05:00,2022-07-05T22:31:00-05:00,2022-07-05T01:01:00-05:00,2022-07-05T22:31:00-05:00
Low,7/5/2022,55.4,55.4,55.4,0,0,,0,0,0,28.2,82,28.2
Low Datetime,7/5/2022,2022-07-05T23:46:00-05:00,2022-07-05T23:46:00-05:00,2022-07-05T23:46:00-05:00,2022-07-05T01:01:00-05:00,2022-07-05T01:01:00-05:00,,2022-07-05T01:01:00-05:00,2022-07-05T01:01:00-05:00,2022-07-05T22:46:00-05:00,2022-07-05T03:46:00-05:00,2022-07-05T15:01:00-05:00,2022-07-05T03:46:00-05:00
Average,7/6/2022,60.9,60.6,51.4,0.8,4.7,N,0,0,0,28.4,74,28.4
High,7/6/2022,72.7,71.9,58.2,2.2,13.2,,0,0,0,28.44,100,28.44
High Datetime,7/6/2022,2022-07-06T16:31:00-05:00,2022-07-06T16:31:00-05:00,2022-07-06T08:46:00-05:00,2022-07-06T10:46:00-05:00,2022-07-06T14:31:00-05:00,,2022-07-06T01:01:00-05:00,2022-07-06T01:01:00-05:00,2022-07-06T01:01:00-05:00,2022-07-06T10:16:00-05:00,2022-07-06T01:01:00-05:00,2022-07-06T10:16:00-05:00
Low,7/6/2022,49.6,49.6,43.4,0,0,,0,0,0,28.36,46,28.36
Low Datetime,7/6/2022,2022-07-06T03:01:00-05:00,2022-07-06T03:01:00-05:00,2022-07-06T23:16:00-05:00,2022-07-06T01:01:00-05:00,2022-07-06T01:01:00-05:00,,2022-07-06T01:01:00-05:00,2022-07-06T01:01:00-05:00,2022-07-06T01:01:00-05:00,2022-07-06T18:16:00-05:00,2022-07-06T17:16:00-05:00,2022-07-06T18:16:00-05:00
Average,7/7/2022,65.4,65.5,55.2,1.4,5.9,N,0,0,0,28.33,68,28.33
High,7/7/2022,80.1,81.3,64.3,4,14.8,,0,0,0,28.43,92,28.43
High Datetime,7/7/2022,2022-07-07T14:31:00-05:00,2022-07-07T14:31:00-05:00,2022-07-07T11:46:00-05:00,2022-07-07T14:46:00-05:00,2022-07-07T13:01:00-05:00,,2022-07-07T01:01:00-05:00,2022-07-07T01:01:00-05:00,2022-07-07T01:01:00-05:00,2022-07-07T23:46:00-05:00,2022-07-07T23:01:00-05:00,2022-07-07T23:46:00-05:00
Low,7/7/2022,49.5,49.5,42,0,0,,0,0,0,28.29,0,28.29
Low Datetime,7/7/2022,2022-07-07T00:01:00-05:00,2022-07-07T00:01:00-05:00,2022-07-07T01:31:00-05:00,2022-07-07T01:46:00-05:00,2022-07-07T03:01:00-05:00,,2022-07-07T01:01:00-05:00,2022-07-07T01:01:00-05:00,2022-07-07T01:01:00-05:00,2022-07-07T08:16:00-05:00,2022-07-07T23:31:00-05:00,2022-07-07T08:16:00-05:00
Average,7/8/2022,65,64.8,52.1,0.6,4.1,N,0,0,0,29.47,48,28.5
High,7/8/2022,78.3,77.7,56,2,8.5,,0,0,0,30.31,99,28.55
High Datetime,7/8/2022,2022-07-08T14:46:00-05:00,2022-07-08T14:46:00-05:00,2022-07-08T09:01:00-05:00,2022-07-08T12:16:00-05:00,2022-07-08T12:16:00-05:00,,2022-07-08T01:01:00-05:00,2022-07-08T01:01:00-05:00,2022-07-08T01:01:00-05:00,2022-07-08T23:46:00-05:00,2022-07-08T05:46:00-05:00,2022-07-08T23:46:00-05:00
Low,7/8/2022,49.8,49.8,45.7,0,0,,0,0,0,28.43,0,28.43
Low Datetime,7/8/2022,2022-07-08T23:46:00-05:00,2022-07-08T23:46:00-05:00,2022-07-08T05:16:00-05:00,2022-07-08T01:01:00-05:00,2022-07-08T02:31:00-05:00,,2022-07-08T01:01:00-05:00,2022-07-08T01:01:00-05:00,2022-07-08T01:01:00-05:00,2022-07-08T00:01:00-05:00,2022-07-08T01:01:00-05:00,2022-07-08T00:01:00-05:00
Average,7/9/2022,63.8,63.4,48.6,0.5,3.2,N,0,0,0,30.21,63,28.5
High,7/9/2022,81.1,80,55.3,2.5,10.5,,0,0,0,30.34,99,28.56
High Datetime,7/9/2022,2022-07-09T14:46:00-05:00,2022-07-09T15:46:00-05:00,2022-07-09T08:31:00-05:00,2022-07-09T16:16:00-05:00,2022-07-09T13:31:00-05:00,,2022-07-09T01:01:00-05:00,2022-07-09T01:01:00-05:00,2022-07-09T01:01:00-05:00,2022-07-09T06:16:00-05:00,2022-07-09T04:46:00-05:00,2022-07-09T01:01:00-05:00
Low,7/9/2022,43,43,42.5,0,0,,0,0,0,30.09,31,28.38
Low Datetime,7/9/2022,2022-07-09T05:46:00-05:00,2022-07-09T05:46:00-05:00,2022-07-09T05:46:00-05:00,2022-07-09T01:01:00-05:00,2022-07-09T01:01:00-05:00,,2022-07-09T01:01:00-05:00,2022-07-09T01:01:00-05:00,2022-07-09T01:01:00-05:00,2022-07-09T17:16:00-05:00,2022-07-09T13:16:00-05:00,2022-07-09T23:46:00-05:00
Average,7/10/2022,70.3,70.8,64.1,3.2,10.1,N,0.01,0.08,0.08,29.88,81,28.21
High,7/10/2022,79.7,80.7,69.8,6.3,20.8,,0.41,0.19,0.19,30.09,96,28.38
High Datetime,7/10/2022,2022-07-10T11:01:00-05:00,2022-07-10T11:01:00-05:00,2022-07-10T15:01:00-05:00,2022-07-10T15:16:00-05:00,2022-07-10T09:16:00-05:00,,2022-07-10T13:16:00-05:00,2022-07-10T15:01:00-05:00,2022-07-10T14:46:00-05:00,2022-07-10T01:01:00-05:00,2022-07-10T14:01:00-05:00,2022-07-10T01:01:00-05:00
Low,7/10/2022,60.8,60.8,51.7,0.2,3.6,,0,0,0,29.71,68,28.05
Low Datetime,7/10/2022,2022-07-10T01:01:00-05:00,2022-07-10T01:01:00-05:00,2022-07-10T00:01:00-05:00,2022-07-10T00:31:00-05:00,2022-07-10T14:01:00-05:00,,2022-07-10T01:01:00-05:00,2022-07-10T01:01:00-05:00,2022-07-10T01:01:00-05:00,2022-07-10T14:31:00-05:00,2022-07-10T12:01:00-05:00,2022-07-10T14:31:00-05:00
Average,7/11/2022,65.5,65.5,61.2,2.7,8.4,N,0,0.02,0.13,29.72,86,28.04
High,7/11/2022,73.6,73.2,64.8,4.7,14.1,,0.06,0.04,0.23,29.79,99,28.1
High Datetime,7/11/2022,2022-07-11T14:17:00-05:00,2022-07-11T14:17:00-05:00,2022-07-11T01:31:00-05:00,2022-07-11T10:46:00-05:00,2022-07-11T17:01:00-05:00,,2022-07-11T11:31:00-05:00,2022-07-11T12:17:00-05:00,2022-07-11T12:01:00-05:00,2022-07-11T21:47:00-05:00,2022-07-11T04:46:00-05:00,2022-07-11T21:47:00-05:00
Low,7/11/2022,59.5,59.5,56.2,0.2,2.5,,0,0,0.04,29.66,55,28.01
Low Datetime,7/11/2022,2022-07-11T23:47:00-05:00,2022-07-11T23:47:00-05:00,2022-07-11T14:32:00-05:00,2022-07-11T12:01:00-05:00,2022-07-11T12:01:00-05:00,,2022-07-11T01:02:00-05:00,2022-07-11T01:02:00-05:00,2022-07-11T15:02:00-05:00,2022-07-11T13:32:00-05:00,2022-07-11T14:17:00-05:00,2022-07-11T13:02:00-05:00
Average,7/12/2022,62,62,58,1.6,5.3,N,0.01,0.09,0.11,29.87,87,28.17
High,7/12/2022,74.1,74.1,63.4,4.3,12.3,,0.47,0.21,0.21,30.01,99,28.28
High Datetime,7/12/2022,2022-07-12T11:47:00-05:00,2022-07-12T11:47:00-05:00,2022-07-12T13:32:00-05:00,2022-07-12T11:47:00-05:00,2022-07-12T12:32:00-05:00,,2022-07-12T12:47:00-05:00,2022-07-12T15:17:00-05:00,2022-07-12T15:02:00-05:00,2022-07-12T23:47:00-05:00,2022-07-12T04:32:00-05:00,2022-07-12T23:47:00-05:00
Low,7/12/2022,54,54,53.4,0,0,,0,0,0,29.79,62,28.09
Low Datetime,7/12/2022,2022-07-12T06:32:00-05:00,2022-07-12T06:32:00-05:00,2022-07-12T06:32:00-05:00,2022-07-12T06:32:00-05:00,2022-07-12T20:02:00-05:00,,2022-07-12T01:02:00-05:00,2022-07-12T01:02:00-05:00,2022-07-12T12:02:00-05:00,2022-07-12T00:01:00-05:00,2022-07-12T11:47:00-05:00,2022-07-12T00:01:00-05:00
Average,7/13/2022,60.1,59.9,51.3,0.4,3,N,0,0,0.12,30.11,76,28.39
High,7/13/2022,75,74.2,56.1,1.8,7.8,,0,0,0.21,30.21,100,28.45
