lagoslakeid,lake_namegnis,lake_states,lake_depth_state,lake_lat_decdeg,lake_lon_decdeg,lake_maxdepth_m,lake_meandepth_m,lake_waterarea_ha,lake_depth_sourcename,lake_depth_sourceurl,lake_maxdepth_effort,lake_meandepth_effort
3144,NA,OH,OH,38.65440137,-82.39039704,12.22,NA,38.09330038,OH_ODW_CHEM,NULL,LAGOSNE,NULL
3145,NA,VT,VT,42.79004833,-72.71298151,2.7432,NA,7.571119757,VT_DWQ_NUTRIENT,NULL,LAGOSNE,NULL
3146,NA,IN,IN,41.50689489,-85.27384917,7.9,4.9,31.20726743,IN_CLP_DEPTHS,NULL,LAGOSNE,LAGOSNE
3147,NA,MA,MA,42.0317385,-72.0139242,1.8,NA,16.758642,MA_DEP_CHEM,NULL,LAGOSNE,NULL
3148,NA,MN,MN,46.70310823,-93.25748937,6.095702648,NA,932.3048749,NULL,NULL,bathymetry,NULL
3149,NA,MN,MN,44.1305937,-94.58480997,7,NA,717.5833855,MN_MPCA_CHEM_1999_2012,NULL,LAGOSNE,NULL
3150,NA,MN,MN,46.95695284,-95.06419714,23.1561985,NA,664.6830039,NULL,NULL,bathymetry,NULL
3151,NA,NJ,NJ,40.64056724,-74.62654153,3.6,NA,4.854085816,NJ_DEP_CHEM,NULL,LAGOSNE,NULL
3152,NA,MI,MI,41.89881017,-85.98824746,18.28710759,NA,420.9182029,NULL,NULL,bathymetry,NULL
3153,NA,MI,MI,42.3638182,-84.98765609,6.09570253,NA,9.856034398,NULL,NULL,bathymetry,NULL
3154,NA,WI,WI,46.250861,-91.30977225,7.62,NA,29.0274264,WI_DNR_NUTRIENT,NULL,LAGOSNE,NULL
3155,NA,VT,VT,44.67434645,-73.19136697,10.9728,NA,32.84338831,VT_DWQ_NUTRIENT,NULL,LAGOSNE,NULL
3156,NA,MI,MI,46.69453605,-85.35292451,12.19140506,NA,42.41578068,NULL,NULL,bathymetry,NULL
3158,NA,VT,VT,42.79900987,-73.19315817,6.096,NA,8.475332042,VT_DWQ_NUTRIENT,NULL,LAGOSNE,NULL
3160,NA,MN,MN,45.90216246,-95.37615568,9.745465279,NA,60.59623613,NULL,NULL,bathymetry,NULL
3161,NA,MN,MN,47.55743682,-93.31318645,14.50675678,NA,117.1257517,NULL,NULL,bathymetry,NULL
3162,NA,WI,WI,45.58170329,-89.1648967,3.6576,NA,16.32910097,WI_DNR_NUTRIENT,NULL,LAGOSNE,NULL
3163,NA,MN,MN,43.90300266,-93.41680193,9.043696404,NA,36.03661813,NULL,NULL,bathymetry,NULL
3164,NA,WI,WI,46.09442067,-89.47014826,6.7056,NA,31.36240285,WI_DNR_NUTRIENT,NULL,LAGOSNE,NULL
3165,NA,WI,WI,46.18219471,-89.78958849,15.24,NA,17.31657827,WI_DNR_NUTRIENT,NULL,LAGOSNE,NULL
3166,NA,WI,WI,46.0875019,-89.26748846,4.572,NA,26.32044194,WI_DNR_NUTRIENT,NULL,LAGOSNE,NULL
3167,NA,MI,MI,44.31076776,-83.48957887,1.219140506,NA,657.1761865,NULL,NULL,bathymetry,NULL
3168,NA,WI,WI,46.08455764,-89.72231993,4.2672,NA,65.49304347,WI_DNR_NUTRIENT,NULL,LAGOSNE,NULL
3169,NA,WI,WI,45.63215286,-89.33030048,10.668,NA,162.4847658,WI_DNR_NUTRIENT,NULL,LAGOSNE,NULL
3170,NA,MI,MI,46.18336508,-85.01639769,6.09570253,NA,74.97176868,NULL,NULL,bathymetry,NULL
3172,NA,IN,IN,41.17485802,-85.93874523,8.2,2.4,94.04767577,IN_CLP_DEPTHS,NULL,LAGOSNE,LAGOSNE
3173,NA,MN,MN,45.184691,-95.0007841,19.67550468,NA,338.7829029,NULL,NULL,bathymetry,NULL
3174,NA,WI,WI,45.36597266,-89.23213405,7.2,NA,35.12317915,UMWLTM,NULL,LAGOSNE,NULL
3175,NA,MI,MI,44.08809621,-85.48669539,15.23925632,NA,24.08392586,NULL,NULL,bathymetry,NULL
3176,NA,WI,WI,44.2112307,-89.8457498,9.144,NA,119.5232388,WI_DNR_NUTRIENT,NULL,LAGOSNE,NULL
3177,NA,MN,MN,45.82399605,-93.33011989,2.895169258,NA,243.7068907,NULL,NULL,bathymetry,NULL
3178,NA,MN,MN,46.07235605,-95.58466992,4.876549721,NA,241.673073,NULL,NULL,bathymetry,NULL
3179,NA,WI,WI,45.9279309,-89.7414716,8.2296,NA,25.51243637,WI_DNR_NUTRIENT,NULL,LAGOSNE,NULL
3180,NA,IN,IN,41.0813782,-85.90050778,8.8,4.6,57.45652662,IN_CLP_DEPTHS,NULL,LAGOSNE,LAGOSNE
3181,NA,WI,WI,45.8387521,-88.67553011,7.0104,NA,137.6265893,WI_DNR_NUTRIENT,NULL,LAGOSNE,NULL
3183,NA,MI,MI,42.53727829,-83.86078623,5.7912,NA,74.27633678,MI_DEQ_HIST_LWQS,NULL,LAGOSNE,NULL
3184,NA,MI,MI,46.55721907,-88.21555776,10.66747943,NA,80.53286246,NULL,NULL,bathymetry,NULL
3185,NA,MN,MN,46.64104416,-94.05407952,10.96779633,NA,134.698659,NULL,NULL,bathymetry,NULL
3186,NA,MN,MN,46.42704332,-95.80520141,24.68759537,NA,339.6293336,NULL,NULL,bathymetry,NULL
3187,NA,MA,MA,42.59518052,-71.25207532,2.3,NA,17.19164056,MA_DEP_CHEM,NULL,LAGOSNE,NULL
3188,NA,VT,VT,44.98665755,-73.0375999,0.9144,NA,9.570077663,VT_DWQ_NUTRIENT,NULL,LAGOSNE,NULL
3189,NA,WI,WI,44.17034568,-90.46499989,3.6576,NA,34.68047422,WI_DNR_NUTRIENT,NULL,LAGOSNE,NULL
3190,NA,MN,MN,47.60937706,-93.47686575,11.9695549,NA,112.0607708,NULL,NULL,bathymetry,NULL
3191,NA,MI,MI,45.10280247,-83.9562008,21.33495885,NA,156.289573,NULL,NULL,bathymetry,NULL
3192,NA,OH,OH,41.36755396,-81.22460168,8,NA,575.3118112,OH_ODW_CHEM,NULL,LAGOSNE,NULL
3193,NA,WI,WI,45.88904745,-88.6230404,2.7432,NA,38.70755336,WI_DNR_NUTRIENT,NULL,LAGOSNE,NULL
3195,NA,IN,IN,39.8872791,-87.08808192,5.8,NA,128.3387895,IN_chemistry,NULL,LAGOSNE,NULL
3196,NA,MN,MN,46.39029725,-94.18489911,13.7,NA,146.9152454,MN_MPCA_SECCHI,NULL,LAGOSNE,NULL
3197,NA,MN,MN,46.70819883,-95.94822266,7.6,NA,145.514683,MN_MPCA_SECCHI,NULL,LAGOSNE,NULL
3198,NA,MN,MN,43.65104952,-94.46694084,5.636028767,NA,90.73675585,NULL,NULL,bathymetry,NULL
3199,NA,IN,IN,41.73860004,-85.65539846,5.5,3,11.55060406,IN_CLP_DEPTHS,NULL,LAGOSNE,LAGOSNE
3200,NA,MI,MI,43.91900436,-84.96529634,15.8496,NA,21.03830494,MI_DEQ_HIST_LWQS,NULL,LAGOSNE,NULL
3201,NA,MA,MA,42.03159347,-71.93428632,3,NA,2.45474437,MA_DEP_CHEM,NULL,LAGOSNE,NULL
3202,NA,MN,MN,44.38031777,-96.00893514,1.828710794,NA,66.47029419,NULL,NULL,bathymetry,NULL
3203,NA,IN,IN,41.24622665,-85.42927931,15.5,7.6,56.03196892,IN_CLP_DEPTHS,NULL,LAGOSNE,LAGOSNE
